layer,kind,tensor,type,cols,rows,batch,calls,ms
0,q_proj,blk.0.attn_q.weight,Q4_0,4096,4096,32,4,77.418010
0,k_proj,blk.0.attn_k.weight,Q4_0,4096,4096,32,4,77.473027
0,v_proj,blk.0.attn_v.weight,Q4_0,4096,4096,32,4,77.803016
0,o_proj,blk.0.attn_output.weight,Q4_0,4096,4096,32,4,76.949988
0,ffn_gate,blk.0.ffn_gate.weight,Q4_0,4096,11008,32,4,208.097142
0,ffn_up,blk.0.ffn_up.weight,Q4_0,4096,11008,32,4,207.336891
0,ffn_down,blk.0.ffn_down.weight,Q4_0,11008,4096,32,4,202.110863
1,q_proj,blk.1.attn_q.weight,Q4_0,4096,4096,32,4,77.038885
1,k_proj,blk.1.attn_k.weight,Q4_0,4096,4096,32,4,77.150061
1,v_proj,blk.1.attn_v.weight,Q4_0,4096,4096,32,4,76.864312
1,o_proj,blk.1.attn_output.weight,Q4_0,4096,4096,32,4,76.601981
1,ffn_gate,blk.1.ffn_gate.weight,Q4_0,4096,11008,32,4,208.500138
1,ffn_up,blk.1.ffn_up.weight,Q4_0,4096,11008,32,4,207.519860
1,ffn_down,blk.1.ffn_down.weight,Q4_0,11008,4096,32,4,201.458252
2,q_proj,blk.2.attn_q.weight,Q4_0,4096,4096,32,4,77.306444
2,k_proj,blk.2.attn_k.weight,Q4_0,4096,4096,32,4,76.675155
2,v_proj,blk.2.attn_v.weight,Q4_0,4096,4096,32,4,78.122947
2,o_proj,blk.2.attn_output.weight,Q4_0,4096,4096,32,4,77.463242
2,ffn_gate,blk.2.ffn_gate.weight,Q4_0,4096,11008,32,4,208.209809
2,ffn_up,blk.2.ffn_up.weight,Q4_0,4096,11008,32,4,207.428217
2,ffn_down,blk.2.ffn_down.weight,Q4_0,11008,4096,32,4,202.107544
3,q_proj,blk.3.attn_q.weight,Q4_0,4096,4096,32,4,76.732191
3,k_proj,blk.3.attn_k.weight,Q4_0,4096,4096,32,4,77.419358
3,v_proj,blk.3.attn_v.weight,Q4_0,4096,4096,32,4,76.813786
3,o_proj,blk.3.attn_output.weight,Q4_0,4096,4096,32,4,78.161171
3,ffn_gate,blk.3.ffn_gate.weight,Q4_0,4096,11008,32,4,209.166864
3,ffn_up,blk.3.ffn_up.weight,Q4_0,4096,11008,32,4,207.336619
3,ffn_down,blk.3.ffn_down.weight,Q4_0,11008,4096,32,4,201.411670
4,q_proj,blk.4.attn_q.weight,Q4_0,4096,4096,32,4,76.977649
4,k_proj,blk.4.attn_k.weight,Q4_0,4096,4096,32,4,77.291768
4,v_proj,blk.4.attn_v.weight,Q4_0,4096,4096,32,4,77.184871
4,o_proj,blk.4.attn_output.weight,Q4_0,4096,4096,32,4,77.490023
4,ffn_gate,blk.4.ffn_gate.weight,Q4_0,4096,11008,32,4,208.145431
4,ffn_up,blk.4.ffn_up.weight,Q4_0,4096,11008,32,4,207.706902
4,ffn_down,blk.4.ffn_down.weight,Q4_0,11008,4096,32,4,201.808001
5,q_proj,blk.5.attn_q.weight,Q4_0,4096,4096,32,4,77.584902
5,k_proj,blk.5.attn_k.weight,Q4_0,4096,4096,32,4,77.512764
5,v_proj,blk.5.attn_v.weight,Q4_0,4096,4096,32,4,77.621755
5,o_proj,blk.5.attn_output.weight,Q4_0,4096,4096,32,4,77.074705
5,ffn_gate,blk.5.ffn_gate.weight,Q4_0,4096,11008,32,4,208.243844
5,ffn_up,blk.5.ffn_up.weight,Q4_0,4096,11008,32,4,207.146114
5,ffn_down,blk.5.ffn_down.weight,Q4_0,11008,4096,32,4,203.406064
6,q_proj,blk.6.attn_q.weight,Q4_0,4096,4096,32,4,77.355188
6,k_proj,blk.6.attn_k.weight,Q4_0,4096,4096,32,4,77.610324
6,v_proj,blk.6.attn_v.weight,Q4_0,4096,4096,32,4,76.926335
6,o_proj,blk.6.attn_output.weight,Q4_0,4096,4096,32,4,76.864023
6,ffn_gate,blk.6.ffn_gate.weight,Q4_0,4096,11008,32,4,208.036850
6,ffn_up,blk.6.ffn_up.weight,Q4_0,4096,11008,32,4,208.118648
6,ffn_down,blk.6.ffn_down.weight,Q4_0,11008,4096,32,4,201.793719
7,q_proj,blk.7.attn_q.weight,Q4_0,4096,4096,32,4,76.918509
7,k_proj,blk.7.attn_k.weight,Q4_0,4096,4096,32,4,77.309410
7,v_proj,blk.7.attn_v.weight,Q4_0,4096,4096,32,4,77.032019
7,o_proj,blk.7.attn_output.weight,Q4_0,4096,4096,32,4,76.666340
7,ffn_gate,blk.7.ffn_gate.weight,Q4_0,4096,11008,32,4,208.626033
7,ffn_up,blk.7.ffn_up.weight,Q4_0,4096,11008,32,4,207.968696
7,ffn_down,blk.7.ffn_down.weight,Q4_0,11008,4096,32,4,201.618928
8,q_proj,blk.8.attn_q.weight,Q4_0,4096,4096,32,4,76.746577
8,k_proj,blk.8.attn_k.weight,Q4_0,4096,4096,32,4,76.040561
8,v_proj,blk.8.attn_v.weight,Q4_0,4096,4096,32,4,76.674592
8,o_proj,blk.8.attn_output.weight,Q4_0,4096,4096,32,4,76.386991
8,ffn_gate,blk.8.ffn_gate.weight,Q4_0,4096,11008,32,4,208.358329
