layer,kind,tensor,type,cols,rows,batch,calls,ms
0,q_proj,blk.0.attn_q.weight,Q4_0,4096,4096,32,4,89.035528
0,k_proj,blk.0.attn_k.weight,Q4_0,4096,4096,32,4,88.962114
0,v_proj,blk.0.attn_v.weight,Q4_0,4096,4096,32,4,89.509841
0,o_proj,blk.0.attn_output.weight,Q4_0,4096,4096,32,4,85.561721
0,ffn_gate,blk.0.ffn_gate.weight,Q4_0,4096,11008,32,4,239.017486
0,ffn_up,blk.0.ffn_up.weight,Q4_0,4096,11008,32,4,236.170923
0,ffn_down,blk.0.ffn_down.weight,Q4_0,11008,4096,32,4,234.393370
1,q_proj,blk.1.attn_q.weight,Q4_0,4096,4096,32,4,86.312390
1,k_proj,blk.1.attn_k.weight,Q4_0,4096,4096,32,4,87.973130
1,v_proj,blk.1.attn_v.weight,Q4_0,4096,4096,32,4,89.491629
1,o_proj,blk.1.attn_output.weight,Q4_0,4096,4096,32,4,88.167332
1,ffn_gate,blk.1.ffn_gate.weight,Q4_0,4096,11008,32,4,235.465677
1,ffn_up,blk.1.ffn_up.weight,Q4_0,4096,11008,32,4,237.035095
1,ffn_down,blk.1.ffn_down.weight,Q4_0,11008,4096,32,4,235.627270
2,q_proj,blk.2.attn_q.weight,Q4_0,4096,4096,32,4,89.255705
2,k_proj,blk.2.attn_k.weight,Q4_0,4096,4096,32,4,87.207205
2,v_proj,blk.2.attn_v.weight,Q4_0,4096,4096,32,4,87.520237
2,o_proj,blk.2.attn_output.weight,Q4_0,4096,4096,32,4,88.245682
2,ffn_gate,blk.2.ffn_gate.weight,Q4_0,4096,11008,32,4,236.713263
2,ffn_up,blk.2.ffn_up.weight,Q4_0,4096,11008,32,4,236.302168
2,ffn_down,blk.2.ffn_down.weight,Q4_0,11008,4096,32,4,232.391724
3,q_proj,blk.3.attn_q.weight,Q4_0,4096,4096,32,4,88.129890
3,k_proj,blk.3.attn_k.weight,Q4_0,4096,4096,32,4,87.572382
3,v_proj,blk.3.attn_v.weight,Q4_0,4096,4096,32,4,87.214995
3,o_proj,blk.3.attn_output.weight,Q4_0,4096,4096,32,4,90.372122
3,ffn_gate,blk.3.ffn_gate.weight,Q4_0,4096,11008,32,4,233.978516
3,ffn_up,blk.3.ffn_up.weight,Q4_0,4096,11008,32,4,237.854970
3,ffn_down,blk.3.ffn_down.weight,Q4_0,11008,4096,32,4,232.336656
4,q_proj,blk.4.attn_q.weight,Q4_0,4096,4096,32,4,87.490520
4,k_proj,blk.4.attn_k.weight,Q4_0,4096,4096,32,4,88.662583
4,v_proj,blk.4.attn_v.weight,Q4_0,4096,4096,32,4,86.197085
4,o_proj,blk.4.attn_output.weight,Q4_0,4096,4096,32,4,87.976416
4,ffn_gate,blk.4.ffn_gate.weight,Q4_0,4096,11008,32,4,236.135770
4,ffn_up,blk.4.ffn_up.weight,Q4_0,4096,11008,32,4,234.081217
4,ffn_down,blk.4.ffn_down.weight,Q4_0,11008,4096,32,4,232.327939
5,q_proj,blk.5.attn_q.weight,Q4_0,4096,4096,32,4,88.372347
5,k_proj,blk.5.attn_k.weight,Q4_0,4096,4096,32,4,84.690418
5,v_proj,blk.5.attn_v.weight,Q4_0,4096,4096,32,4,86.982512
5,o_proj,blk.5.attn_output.weight,Q4_0,4096,4096,32,4,87.926343
5,ffn_gate,blk.5.ffn_gate.weight,Q4_0,4096,11008,32,4,239.328601
5,ffn_up,blk.5.ffn_up.weight,Q4_0,4096,11008,32,4,235.554797
5,ffn_down,blk.5.ffn_down.weight,Q4_0,11008,4096,32,4,237.765735
6,q_proj,blk.6.attn_q.weight,Q4_0,4096,4096,32,4,87.746539
6,k_proj,blk.6.attn_k.weight,Q4_0,4096,4096,32,4,88.569066
6,v_proj,blk.6.attn_v.weight,Q4_0,4096,4096,32,4,86.221981
6,o_proj,blk.6.attn_output.weight,Q4_0,4096,4096,32,4,86.117931
6,ffn_gate,blk.6.ffn_gate.weight,Q4_0,4096,11008,32,4,236.010631
6,ffn_up,blk.6.ffn_up.weight,Q4_0,4096,11008,32,4,237.580430
6,ffn_down,blk.6.ffn_down.weight,Q4_0,11008,4096,32,4,233.720335
7,q_proj,blk.7.attn_q.weight,Q4_0,4096,4096,32,4,88.403020
7,k_proj,blk.7.attn_k.weight,Q4_0,4096,4096,32,4,86.952028
7,v_proj,blk.7.attn_v.weight,Q4_0,4096,4096,32,4,86.493747
7,o_proj,blk.7.attn_output.weight,Q4_0,4096,4096,32,4,87.018051
7,ffn_gate,blk.7.ffn_gate.weight,Q4_0,4096,11008,32,4,240.259266
7,ffn_up,blk.7.ffn_up.weight,Q4_0,4096,11008,32,4,238.005471
7,ffn_down,blk.7.ffn_down.weight,Q4_0,11008,4096,32,4,235.595554
8,q_proj,blk.8.attn_q.weight,Q4_0,4096,4096,32,4,87.212767
8,k_proj,blk.8.attn_k.weight,Q4_0,4096,4096,32,4,87.203064
8,v_proj,blk.8.attn_v.weight,Q4_0,4096,4096,32,4,88.145491
8,o_proj,blk.8.attn_output.weight,Q4_0,4096,4096,32,4,87.338793
8,ffn_gate,blk.8.ffn_gate.weight,Q4_0,4096,11008,32,4,237.999574
8,ffn_up,blk.8.ffn_up.weight,Q4_0,4096,11008,32,4,237.073198
8,ffn_down,blk.8.ffn_down.weight,Q4_0,11008,4096,32,4,235.941787
9,q_proj,blk.9.attn_q.weight,Q4_0,4096,4096,32,4,88.151273
9,k_proj,blk.9.attn_k.weight,Q4_0,4096,4096,32,4,87.138723
9,v_proj,blk.9.attn_v.weight,Q4_0,4096,4096,32,4,87.489296
9,o_proj,blk.9.attn_output.weight,Q4_0,4096,4096,32,4,88.719766
9,ffn_gate,blk.9.ffn_gate.weight,Q4_0,4096,11008,32,4,240.707066
9,ffn_up,blk.9.ffn_up.weight,Q4_0,4096,11008,32,4,239.289065
9,ffn_down,blk.9.ffn_down.weight,Q4_0,11008,4096,32,4,231.538762
10,q_proj,blk.10.attn_q.weight,Q4_0,4096,4096,32,4,87.491522
10,k_proj,blk.10.attn_k.weight,Q4_0,4096,4096,32,4,87.916889
10,v_proj,blk.10.attn_v.weight,Q4_0,4096,4096,32,4,87.153519
10,o_proj,blk.10.attn_output.weight,Q4_0,4096,4096,32,4,88.163123
10,ffn_gate,blk.10.ffn_gate.weight,Q4_0,4096,11008,32,4,237.645412
10,ffn_up,blk.10.ffn_up.weight,Q4_0,4096,11008,32,4,237.022136
10,ffn_down,blk.10.ffn_down.weight,Q4_0,11008,4096,32,4,230.919596
11,q_proj,blk.11.attn_q.weight,Q4_0,4096,4096,32,4,86.720194
11,k_proj,blk.11.attn_k.weight,Q4_0,4096,4096,32,4,88.292247
11,v_proj,blk.11.attn_v.weight,Q4_0,4096,4096,32,4,88.262467
11,o_proj,blk.11.attn_output.weight,Q4_0,4096,4096,32,4,88.425008
11,ffn_gate,blk.11.ffn_gate.weight,Q4_0,4096,11008,32,4,240.461651
11,ffn_up,blk.11.ffn_up.weight,Q4_0,4096,11008,32,4,237.762076
11,ffn_down,blk.11.ffn_down.weight,Q4_0,11008,4096,32,4,238.799690
12,q_proj,blk.12.attn_q.weight,Q4_0,4096,4096,32,4,88.400173
12,k_proj,blk.12.attn_k.weight,Q4_0,4096,4096,32,4,88.702197
12,v_proj,blk.12.attn_v.weight,Q4_0,4096,4096,32,4,86.794313
12,o_proj,blk.12.attn_output.weight,Q4_0,4096,4096,32,4,88.569027
12,ffn_gate,blk.12.ffn_gate.weight,Q4_0,4096,11008,32,4,237.638679
12,ffn_up,blk.12.ffn_up.weight,Q4_0,4096,11008,32,4,236.799553
12,ffn_down,blk.12.ffn_down.weight,Q4_0,11008,4096,32,4,232.109635
13,q_proj,blk.13.attn_q.weight,Q4_0,4096,4096,32,4,88.004100
13,k_proj,blk.13.attn_k.weight,Q4_0,4096,4096,32,4,87.750571
13,v_proj,blk.13.attn_v.weight,Q4_0,4096,4096,32,4,88.121160
13,o_proj,blk.13.attn_output.weight,Q4_0,4096,4096,32,4,88.392744
13,ffn_gate,blk.13.ffn_gate.weight,Q4_0,4096,11008,32,4,237.455542
13,ffn_up,blk.13.ffn_up.weight,Q4_0,4096,11008,32,4,238.395978
13,ffn_down,blk.13.ffn_down.weight,Q4_0,11008,4096,32,4,230.697374
14,q_proj,blk.14.attn_q.weight,Q4_0,4096,4096,32,4,87.779739
14,k_proj,blk.14.attn_k.weight,Q4_0,4096,4096,32,4,88.353180
14,v_proj,blk.14.attn_v.weight,Q4_0,4096,4096,32,4,87.463944
14,o_proj,blk.14.attn_output.weight,Q4_0,4096,4096,32,4,87.091062
14,ffn_gate,blk.14.ffn_gate.weight,Q4_0,4096,11008,32,4,237.847715
14,ffn_up,blk.14.ffn_up.weight,Q4_0,4096,11008,32,4,240.046745
14,ffn_down,blk.14.ffn_down.weight,Q4_0,11008,4096,32,4,233.833301
15,q_proj,blk.15.attn_q.weight,Q4_0,4096,4096,32,4,89.249760
15,k_proj,blk.15.attn_k.weight,Q4_0,4096,4096,32,4,88.421449
15,v_proj,blk.15.attn_v.weight,Q4_0,4096,4096,32,4,86.016706
15,o_proj,blk.15.attn_output.weight,Q4_0,4096,4096,32,4,89.667608
15,ffn_gate,blk.15.ffn_gate.weight,Q4_0,4096,11008,32,4,237.412823
15,ffn_up,blk.15.ffn_up.weight,Q4_0,4096,11008,32,4,235.864653
15,ffn_down,blk.15.ffn_down.weight,Q4_0,11008,4096,32,4,235.700344
16,q_proj,blk.16.attn_q.weight,Q4_0,4096,4096,32,4,89.536482
16,k_proj,blk.16.attn_k.weight,Q4_0,4096,4096,32,4,86.421002
16,v_proj,blk.16.attn_v.weight,Q4_0,4096,4096,32,4,87.400567
16,o_proj,blk.16.attn_output.weight,Q4_0,4096,4096,32,4,88.409659
16,ffn_gate,blk.16.ffn_gate.weight,Q4_0,4096,11008,32,4,236.494709
16,ffn_up,blk.16.ffn_up.weight,Q4_0,4096,11008,32,4,236.446924
16,ffn_down,blk.16.ffn_down.weight,Q4_0,11008,4096,32,4,236.769946
17,q_proj,blk.17.attn_q.weight,Q4_0,4096,4096,32,4,89.154130
17,k_proj,blk.17.attn_k.weight,Q4_0,4096,4096,32,4,87.746736
17,v_proj,blk.17.attn_v.weight,Q4_0,4096,4096,32,4,87.468007
17,o_proj,blk.17.attn_output.weight,Q4_0,4096,4096,32,4,88.038451
17,ffn_gate,blk.17.ffn_gate.weight,Q4_0,4096,11008,32,4,236.040434
17,ffn_up,blk.17.ffn_up.weight,Q4_0,4096,11008,32,4,238.695556
17,ffn_down,blk.17.ffn_down.weight,Q4_0,11008,4096,32,4,236.268409
18,q_proj,blk.18.attn_q.weight,Q4_0,4096,4096,32,4,88.914567
18,k_proj,blk.18.attn_k.weight,Q4_0,4096,4096,32,4,88.320396
18,v_proj,blk.18.attn_v.weight,Q4_0,4096,4096,32,4,89.246621
18,o_proj,blk.18.attn_output.weight,Q4_0,4096,4096,32,4,87.300118
18,ffn_gate,blk.18.ffn_gate.weight,Q4_0,4096,11008,32,4,234.748683
18,ffn_up,blk.18.ffn_up.weight,Q4_0,4096,11008,32,4,237.437519
18,ffn_down,blk.18.ffn_down.weight,Q4_0,11008,4096,32,4,233.560099
19,q_proj,blk.19.attn_q.weight,Q4_0,4096,4096,32,4,87.348054
19,k_proj,blk.19.attn_k.weight,Q4_0,4096,4096,32,4,87.308857
19,v_proj,blk.19.attn_v.weight,Q4_0,4096,4096,32,4,87.450678
19,o_proj,blk.19.attn_output.weight,Q4_0,4096,4096,32,4,89.388076
19,ffn_gate,blk.19.ffn_gate.weight,Q4_0,4096,11008,32,4,237.873680
19,ffn_up,blk.19.ffn_up.weight,Q4_0,4096,11008,32,4,237.352985
19,ffn_down,blk.19.ffn_down.weight,Q4_0,11008,4096,32,4,233.514456
20,q_proj,blk.20.attn_q.weight,Q4_0,4096,4096,32,4,88.176524
20,k_proj,blk.20.attn_k.weight,Q4_0,4096,4096,32,4,88.725656
20,v_proj,blk.20.attn_v.weight,Q4_0,4096,4096,32,4,87.546282
20,o_proj,blk.20.attn_output.weight,Q4_0,4096,4096,32,4,88.758694
20,ffn_gate,blk.20.ffn_gate.weight,Q4_0,4096,11008,32,4,239.217267
20,ffn_up,blk.20.ffn_up.weight,Q4_0,4096,11008,32,4,237.279321
20,ffn_down,blk.20.ffn_down.weight,Q4_0,11008,4096,32,4,234.090715
21,q_proj,blk.21.attn_q.weight,Q4_0,4096,4096,32,4,86.985299
21,k_proj,blk.21.attn_k.weight,Q4_0,4096,4096,32,4,88.596852
21,v_proj,blk.21.attn_v.weight,Q4_0,4096,4096,32,4,87.605235
21,o_proj,blk.21.attn_output.weight,Q4_0,4096,4096,32,4,87.003708
21,ffn_gate,blk.21.ffn_gate.weight,Q4_0,4096,11008,32,4,237.312790
21,ffn_up,blk.21.ffn_up.weight,Q4_0,4096,11008,32,4,236.384021
21,ffn_down,blk.21.ffn_down.weight,Q4_0,11008,4096,32,4,234.631590
22,q_proj,blk.22.attn_q.weight,Q4_0,4096,4096,32,4,87.016732
22,k_proj,blk.22.attn_k.weight,Q4_0,4096,4096,32,4,87.916870
22,v_proj,blk.22.attn_v.weight,Q4_0,4096,4096,32,4,86.958621
22,o_proj,blk.22.attn_output.weight,Q4_0,4096,4096,32,4,88.583827
22,ffn_gate,blk.22.ffn_gate.weight,Q4_0,4096,11008,32,4,236.160538
22,ffn_up,blk.22.ffn_up.weight,Q4_0,4096,11008,32,4,236.655497
22,ffn_down,blk.22.ffn_down.weight,Q4_0,11008,4096,32,4,237.310192
23,q_proj,blk.23.attn_q.weight,Q4_0,4096,4096,32,4,87.823615
23,k_proj,blk.23.attn_k.weight,Q4_0,4096,4096,32,4,88.086327
23,v_proj,blk.23.attn_v.weight,Q4_0,4096,4096,32,4,88.254668
23,o_proj,blk.23.attn_output.weight,Q4_0,4096,4096,32,4,87.171546
23,ffn_gate,blk.23.ffn_gate.weight,Q4_0,4096,11008,32,4,235.103386
23,ffn_up,blk.23.ffn_up.weight,Q4_0,4096,11008,32,4,236.833252
23,ffn_down,blk.23.ffn_down.weight,Q4_0,11008,4096,32,4,235.064431
24,q_proj,blk.24.attn_q.weight,Q4_0,4096,4096,32,4,89.571771
24,k_proj,blk.24.attn_k.weight,Q4_0,4096,4096,32,4,87.603389
24,v_proj,blk.24.attn_v.weight,Q4_0,4096,4096,32,4,86.451738
24,o_proj,blk.24.attn_output.weight,Q4_0,4096,4096,32,4,87.174887
24,ffn_gate,blk.24.ffn_gate.weight,Q4_0,4096,11008,32,4,237.144284
24,ffn_up,blk.24.ffn_up.weight,Q4_0,4096,11008,32,4,237.907078
24,ffn_down,blk.24.ffn_down.weight,Q4_0,11008,4096,32,4,237.073941
25,q_proj,blk.25.attn_q.weight,Q4_0,4096,4096,32,4,88.163213
25,k_proj,blk.25.attn_k.weight,Q4_0,4096,4096,32,4,87.883849
25,v_proj,blk.25.attn_v.weight,Q4_0,4096,4096,32,4,86.378359
25,o_proj,blk.25.attn_output.weight,Q4_0,4096,4096,32,4,86.065034
25,ffn_gate,blk.25.ffn_gate.weight,Q4_0,4096,11008,32,4,238.057431
25,ffn_up,blk.25.ffn_up.weight,Q4_0,4096,11008,32,4,236.763778
25,ffn_down,blk.25.ffn_down.weight,Q4_0,11008,4096,32,4,231.661595
26,q_proj,blk.26.attn_q.weight,Q4_0,4096,4096,32,4,87.679784
26,k_proj,blk.26.attn_k.weight,Q4_0,4096,4096,32,4,87.746417
26,v_proj,blk.26.attn_v.weight,Q4_0,4096,4096,32,4,87.684287
26,o_proj,blk.26.attn_output.weight,Q4_0,4096,4096,32,4,87.171562
26,ffn_gate,blk.26.ffn_gate.weight,Q4_0,4096,11008,32,4,236.073999
26,ffn_up,blk.26.ffn_up.weight,Q4_0,4096,11008,32,4,236.843865
26,ffn_down,blk.26.ffn_down.weight,Q4_0,11008,4096,32,4,235.343294
27,q_proj,blk.27.attn_q.weight,Q4_0,4096,4096,32,4,90.096067
27,k_proj,blk.27.attn_k.weight,Q4_0,4096,4096,32,4,88.737927
27,v_proj,blk.27.attn_v.weight,Q4_0,4096,4096,32,4,87.778571
27,o_proj,blk.27.attn_output.weight,Q4_0,4096,4096,32,4,86.707485
27,ffn_gate,blk.27.ffn_gate.weight,Q4_0,4096,11008,32,4,235.299781
27,ffn_up,blk.27.ffn_up.weight,Q4_0,4096,11008,32,4,237.382914
27,ffn_down,blk.27.ffn_down.weight,Q4_0,11008,4096,32,4,230.637503
28,q_proj,blk.28.attn_q.weight,Q4_0,4096,4096,32,4,89.533060
28,k_proj,blk.28.attn_k.weight,Q4_0,4096,4096,32,4,88.597600
28,v_proj,blk.28.attn_v.weight,Q4_0,4096,4096,32,4,88.574238
28,o_proj,blk.28.attn_output.weight,Q4_0,4096,4096,32,4,86.703495
28,ffn_gate,blk.28.ffn_gate.weight,Q4_0,4096,11008,32,4,235.511911
28,ffn_up,blk.28.ffn_up.weight,Q4_0,4096,11008,32,4,234.577536
28,ffn_down,blk.28.ffn_down.weight,Q4_0,11008,4096,32,4,240.672060
29,q_proj,blk.29.attn_q.weight,Q4_0,4096,4096,32,4,88.894184
29,k_proj,blk.29.attn_k.weight,Q4_0,4096,4096,32,4,87.473953
29,v_proj,blk.29.attn_v.weight,Q4_0,4096,4096,32,4,88.919167
29,o_proj,blk.29.attn_output.weight,Q4_0,4096,4096,32,4,88.675594
29,ffn_gate,blk.29.ffn_gate.weight,Q4_0,4096,11008,32,4,238.660966
