# MemVanta trained-model layer profile
prefill_ms=44641.3 decode_total_ms=10172 sampling_ms=0.373451
prefill_cycles_per_token=852852839.23 decode_cycles_per_token=1554655967.44
qkv_projection_ms=12820.58 attention_output_projection_ms=4105.03 ffn_gemm_ms=33577.95 output_head_ms=3045.24
non_gemm_core_ms=1264.10 (attention softmax/KV + RMSNorm + RoPE + elementwise/residual)
layer,qkv_ms,o_proj_ms,ffn_ms,total_projection_ms,pct_kernel_ms,projection_ms_per_token
0,399.26,130.66,1052.93,1582.85,2.96,10.99
1,398.59,130.09,1046.09,1574.77,2.94,10.94
2,398.14,127.23,1047.06,1572.43,2.94,10.92
3,401.31,131.39,1042.21,1574.91,2.94,10.94
4,399.85,128.80,1041.02,1569.67,2.93,10.90
5,399.11,129.08,1048.74,1576.93,2.94,10.95
6,397.43,122.02,1046.18,1565.63,2.92,10.87
7,401.68,125.33,1054.25,1581.26,2.95,10.98
8,399.52,125.21,1052.89,1577.61,2.95,10.96
9,399.35,127.16,1039.05,1565.57,2.92,10.87
10,400.95,125.37,1047.25,1573.58,2.94,10.93
11,398.66,132.79,1048.09,1579.54,2.95,10.97
12,401.57,130.39,1048.21,1580.17,2.95,10.97
13,402.70,130.01,1048.07,1580.79,2.95,10.98
14,402.34,131.81,1043.32,1577.47,2.95,10.95
15,401.66,127.63,1048.33,1577.62,2.95,10.96
16,400.16,130.64,1053.41,1584.21,2.96,11.00
17,401.92,129.36,1051.30,1582.58,2.96,10.99
18,397.31,128.29,1047.72,1573.32,2.94,10.93
19,401.90,129.31,1053.45,1584.66,2.96,11.00
20,402.05,124.00,1051.08,1577.13,2.95,10.95
21,400.47,131.33,1049.27,1581.07,2.95,10.98
22,401.29,127.19,1054.21,1582.69,2.96,10.99
23,402.16,128.20,1052.93,1583.28,2.96,11.00
24,403.38,124.77,1059.06,1587.22,2.96,11.02
25,404.89,125.86,1050.67,1581.42,2.95,10.98
26,400.89,128.09,1055.83,1584.81,2.96,11.01
27,402.55,129.01,1051.83,1583.39,2.96,11.00
28,400.94,129.67,1049.54,1580.16,2.95,10.97
29,401.34,129.85,1049.09,1580.28,2.95,10.97
30,400.92,128.47,1045.90,1575.29,2.94,10.94
31,396.30,126.00,1048.97,1571.26,2.93,10.91
profile_csv=sevenb-ffn-kernel-ab/baseline-1.csv
