phase,layer,kind,tensor,type,cols,rows,batch,calls,ms
prefill,0,q_proj,blk.0.attn_q.weight,Q4_0,4096,4096,32,4,106.969674
prefill,0,k_proj,blk.0.attn_k.weight,Q4_0,4096,4096,32,4,105.914014
prefill,0,v_proj,blk.0.attn_v.weight,Q4_0,4096,4096,32,4,105.466160
prefill,0,o_proj,blk.0.attn_output.weight,Q4_0,4096,4096,32,4,106.581463
prefill,0,ffn_gate,blk.0.ffn_gate.weight,Q4_0,4096,11008,32,4,277.591673
prefill,0,ffn_up,blk.0.ffn_up.weight,Q4_0,4096,11008,32,4,276.356781
prefill,0,ffn_down,blk.0.ffn_down.weight,Q4_0,11008,4096,32,4,274.387742
prefill,1,q_proj,blk.1.attn_q.weight,Q4_0,4096,4096,32,4,106.641486
prefill,1,k_proj,blk.1.attn_k.weight,Q4_0,4096,4096,32,4,105.022542
prefill,1,v_proj,blk.1.attn_v.weight,Q4_0,4096,4096,32,4,105.719338
prefill,1,o_proj,blk.1.attn_output.weight,Q4_0,4096,4096,32,4,105.391424
prefill,1,ffn_gate,blk.1.ffn_gate.weight,Q4_0,4096,11008,32,4,277.464739
prefill,1,ffn_up,blk.1.ffn_up.weight,Q4_0,4096,11008,32,4,286.081751
prefill,1,ffn_down,blk.1.ffn_down.weight,Q4_0,11008,4096,32,4,275.866738
prefill,2,q_proj,blk.2.attn_q.weight,Q4_0,4096,4096,32,4,105.849146
prefill,2,k_proj,blk.2.attn_k.weight,Q4_0,4096,4096,32,4,105.820414
prefill,2,v_proj,blk.2.attn_v.weight,Q4_0,4096,4096,32,4,105.773665
prefill,2,o_proj,blk.2.attn_output.weight,Q4_0,4096,4096,32,4,105.899447
prefill,2,ffn_gate,blk.2.ffn_gate.weight,Q4_0,4096,11008,32,4,277.649314
prefill,2,ffn_up,blk.2.ffn_up.weight,Q4_0,4096,11008,32,4,277.486193
prefill,2,ffn_down,blk.2.ffn_down.weight,Q4_0,11008,4096,32,4,273.507746
prefill,3,q_proj,blk.3.attn_q.weight,Q4_0,4096,4096,32,4,107.079780
prefill,3,k_proj,blk.3.attn_k.weight,Q4_0,4096,4096,32,4,106.119397
prefill,3,v_proj,blk.3.attn_v.weight,Q4_0,4096,4096,32,4,106.847953
prefill,3,o_proj,blk.3.attn_output.weight,Q4_0,4096,4096,32,4,106.117330
prefill,3,ffn_gate,blk.3.ffn_gate.weight,Q4_0,4096,11008,32,4,278.858630
prefill,3,ffn_up,blk.3.ffn_up.weight,Q4_0,4096,11008,32,4,277.223342
prefill,3,ffn_down,blk.3.ffn_down.weight,Q4_0,11008,4096,32,4,274.181018
prefill,4,q_proj,blk.4.attn_q.weight,Q4_0,4096,4096,32,4,106.903176
prefill,4,k_proj,blk.4.attn_k.weight,Q4_0,4096,4096,32,4,107.086750
prefill,4,v_proj,blk.4.attn_v.weight,Q4_0,4096,4096,32,4,106.390155
prefill,4,o_proj,blk.4.attn_output.weight,Q4_0,4096,4096,32,4,107.535964
prefill,4,ffn_gate,blk.4.ffn_gate.weight,Q4_0,4096,11008,32,4,278.603157
prefill,4,ffn_up,blk.4.ffn_up.weight,Q4_0,4096,11008,32,4,278.741065
prefill,4,ffn_down,blk.4.ffn_down.weight,Q4_0,11008,4096,32,4,273.564168
prefill,5,q_proj,blk.5.attn_q.weight,Q4_0,4096,4096,32,4,107.102584
prefill,5,k_proj,blk.5.attn_k.weight,Q4_0,4096,4096,32,4,105.123747
prefill,5,v_proj,blk.5.attn_v.weight,Q4_0,4096,4096,32,4,106.116868
prefill,5,o_proj,blk.5.attn_output.weight,Q4_0,4096,4096,32,4,106.090868
prefill,5,ffn_gate,blk.5.ffn_gate.weight,Q4_0,4096,11008,32,4,278.445549
prefill,5,ffn_up,blk.5.ffn_up.weight,Q4_0,4096,11008,32,4,274.930851
prefill,5,ffn_down,blk.5.ffn_down.weight,Q4_0,11008,4096,32,4,272.531230
prefill,6,q_proj,blk.6.attn_q.weight,Q4_0,4096,4096,32,4,106.211822
prefill,6,k_proj,blk.6.attn_k.weight,Q4_0,4096,4096,32,4,106.473188
prefill,6,v_proj,blk.6.attn_v.weight,Q4_0,4096,4096,32,4,105.947316
prefill,6,o_proj,blk.6.attn_output.weight,Q4_0,4096,4096,32,4,107.281296
prefill,6,ffn_gate,blk.6.ffn_gate.weight,Q4_0,4096,11008,32,4,278.691614
prefill,6,ffn_up,blk.6.ffn_up.weight,Q4_0,4096,11008,32,4,277.950113
prefill,6,ffn_down,blk.6.ffn_down.weight,Q4_0,11008,4096,32,4,277.279891
prefill,7,q_proj,blk.7.attn_q.weight,Q4_0,4096,4096,32,4,106.609765
prefill,7,k_proj,blk.7.attn_k.weight,Q4_0,4096,4096,32,4,106.957787
prefill,7,v_proj,blk.7.attn_v.weight,Q4_0,4096,4096,32,4,105.811653
prefill,7,o_proj,blk.7.attn_output.weight,Q4_0,4096,4096,32,4,106.882315
prefill,7,ffn_gate,blk.7.ffn_gate.weight,Q4_0,4096,11008,32,4,277.600366
prefill,7,ffn_up,blk.7.ffn_up.weight,Q4_0,4096,11008,32,4,275.603549
prefill,7,ffn_down,blk.7.ffn_down.weight,Q4_0,11008,4096,32,4,277.145065
prefill,8,q_proj,blk.8.attn_q.weight,Q4_0,4096,4096,32,4,105.556610
prefill,8,k_proj,blk.8.attn_k.weight,Q4_0,4096,4096,32,4,107.080159
