# MemVanta trained-model layer profile
prefill_ms=45640 decode_total_ms=9954.23 sampling_ms=0.671083
prefill_cycles_per_token=871944855.85 decode_cycles_per_token=1521393680.25
qkv_projection_ms=12947.76 attention_output_projection_ms=4203.23 ffn_gemm_ms=34174.88 output_head_ms=3032.56
prefill_qkv_projection_ms=11242.19 prefill_attention_output_projection_ms=3613.17 prefill_ffn_gemm_ms=29551.40 prefill_output_head_ms=355.12 prefill_kernel_ms=44761.88
decode_qkv_projection_ms=1705.57 decode_attention_output_projection_ms=590.06 decode_ffn_gemm_ms=4623.48 decode_output_head_ms=2677.44 decode_kernel_ms=9596.55
non_gemm_core_ms=1235.09 (attention softmax/KV + RMSNorm + RoPE + elementwise/residual)
layer,qkv_ms,o_proj_ms,ffn_ms,total_projection_ms,pct_kernel_ms,projection_ms_per_token
0,402.45,130.41,1082.61,1615.47,2.97,11.22
1,407.51,129.22,1080.91,1617.64,2.98,11.23
2,406.37,129.35,1069.43,1605.15,2.95,11.15
3,406.18,132.65,1052.49,1591.32,2.93,11.05
4,406.23,132.21,1055.70,1594.14,2.93,11.07
5,405.06,134.24,1072.87,1612.17,2.97,11.20
6,402.30,131.82,1052.61,1586.73,2.92,11.02
7,402.90,131.15,1067.35,1601.40,2.95,11.12
8,399.98,131.03,1068.89,1599.90,2.94,11.11
9,399.88,133.63,1062.60,1596.11,2.94,11.08
10,406.45,133.75,1067.78,1607.98,2.96,11.17
11,406.45,134.17,1059.26,1599.88,2.94,11.11
12,403.84,132.48,1050.35,1586.67,2.92,11.02
13,407.70,131.67,1052.45,1591.82,2.93,11.05
14,403.94,133.37,1071.78,1609.09,2.96,11.17
15,404.15,132.51,1088.00,1624.66,2.99,11.28
16,406.94,131.19,1083.62,1621.75,2.98,11.26
17,409.50,130.62,1082.78,1622.91,2.99,11.27
18,404.05,134.98,1048.99,1588.01,2.92,11.03
19,404.99,128.36,1072.61,1605.97,2.95,11.15
20,402.88,134.70,1062.24,1599.83,2.94,11.11
21,402.28,130.08,1083.60,1615.95,2.97,11.22
22,405.10,130.04,1072.86,1608.00,2.96,11.17
23,406.80,129.75,1070.90,1607.44,2.96,11.16
24,401.76,131.54,1073.62,1606.92,2.96,11.16
25,405.06,130.20,1049.60,1584.85,2.92,11.01
26,403.72,129.09,1077.36,1610.17,2.96,11.18
27,402.23,131.99,1055.77,1589.99,2.93,11.04
28,403.87,127.79,1082.43,1614.09,2.97,11.21
29,405.39,130.55,1060.57,1596.51,2.94,11.09
30,407.15,130.23,1065.95,1603.33,2.95,11.13
31,404.66,128.49,1076.88,1610.03,2.96,11.18
profile_csv=sevenb-ffn-kernel-ab/baseline-3.csv
