layer,kind,tensor,type,cols,rows,batch,calls,ms
0,q_proj,blk.0.attn_q.weight,Q4_0,4096,4096,32,4,106.212422
0,k_proj,blk.0.attn_k.weight,Q4_0,4096,4096,32,4,106.877727
0,v_proj,blk.0.attn_v.weight,Q4_0,4096,4096,32,4,105.855054
0,o_proj,blk.0.attn_output.weight,Q4_0,4096,4096,32,4,107.515455
0,ffn_gate,blk.0.ffn_gate.weight,Q4_0,4096,11008,32,4,287.632877
0,ffn_up,blk.0.ffn_up.weight,Q4_0,4096,11008,32,4,289.099126
0,ffn_down,blk.0.ffn_down.weight,Q4_0,11008,4096,32,4,291.677514
1,q_proj,blk.1.attn_q.weight,Q4_0,4096,4096,32,4,105.528649
1,k_proj,blk.1.attn_k.weight,Q4_0,4096,4096,32,4,105.697379
1,v_proj,blk.1.attn_v.weight,Q4_0,4096,4096,32,4,107.181031
1,o_proj,blk.1.attn_output.weight,Q4_0,4096,4096,32,4,105.506596
1,ffn_gate,blk.1.ffn_gate.weight,Q4_0,4096,11008,32,4,285.644328
1,ffn_up,blk.1.ffn_up.weight,Q4_0,4096,11008,32,4,286.879891
1,ffn_down,blk.1.ffn_down.weight,Q4_0,11008,4096,32,4,287.418476
2,q_proj,blk.2.attn_q.weight,Q4_0,4096,4096,32,4,105.599046
2,k_proj,blk.2.attn_k.weight,Q4_0,4096,4096,32,4,106.087127
2,v_proj,blk.2.attn_v.weight,Q4_0,4096,4096,32,4,106.655058
2,o_proj,blk.2.attn_output.weight,Q4_0,4096,4096,32,4,107.315384
2,ffn_gate,blk.2.ffn_gate.weight,Q4_0,4096,11008,32,4,286.244485
2,ffn_up,blk.2.ffn_up.weight,Q4_0,4096,11008,32,4,296.043750
2,ffn_down,blk.2.ffn_down.weight,Q4_0,11008,4096,32,4,288.558122
3,q_proj,blk.3.attn_q.weight,Q4_0,4096,4096,32,4,107.170321
3,k_proj,blk.3.attn_k.weight,Q4_0,4096,4096,32,4,107.444950
3,v_proj,blk.3.attn_v.weight,Q4_0,4096,4096,32,4,107.078187
3,o_proj,blk.3.attn_output.weight,Q4_0,4096,4096,32,4,108.287666
3,ffn_gate,blk.3.ffn_gate.weight,Q4_0,4096,11008,32,4,290.345264
3,ffn_up,blk.3.ffn_up.weight,Q4_0,4096,11008,32,4,290.551812
3,ffn_down,blk.3.ffn_down.weight,Q4_0,11008,4096,32,4,285.397742
4,q_proj,blk.4.attn_q.weight,Q4_0,4096,4096,32,4,106.438547
4,k_proj,blk.4.attn_k.weight,Q4_0,4096,4096,32,4,108.163781
4,v_proj,blk.4.attn_v.weight,Q4_0,4096,4096,32,4,105.350664
4,o_proj,blk.4.attn_output.weight,Q4_0,4096,4096,32,4,106.811616
4,ffn_gate,blk.4.ffn_gate.weight,Q4_0,4096,11008,32,4,288.280001
4,ffn_up,blk.4.ffn_up.weight,Q4_0,4096,11008,32,4,288.623056
4,ffn_down,blk.4.ffn_down.weight,Q4_0,11008,4096,32,4,288.951592
5,q_proj,blk.5.attn_q.weight,Q4_0,4096,4096,32,4,107.275759
5,k_proj,blk.5.attn_k.weight,Q4_0,4096,4096,32,4,105.683083
5,v_proj,blk.5.attn_v.weight,Q4_0,4096,4096,32,4,104.186181
5,o_proj,blk.5.attn_output.weight,Q4_0,4096,4096,32,4,105.622188
5,ffn_gate,blk.5.ffn_gate.weight,Q4_0,4096,11008,32,4,288.400974
