# MemVanta trained-model layer profile
prefill_ms=33523.3 decode_total_ms=8121 sampling_ms=0.415676
prefill_cycles_per_token=679912424.55 decode_cycles_per_token=1317667230.69
qkv_projection_ms=9258.38 attention_output_projection_ms=3115.33 ffn_gemm_ms=25532.62 output_head_ms=2754.71
prefill_qkv_projection_ms=7932.55 prefill_attention_output_projection_ms=2662.55 prefill_ffn_gemm_ms=21935.51 prefill_output_head_ms=292.19 prefill_kernel_ms=32822.80
decode_qkv_projection_ms=1325.83 decode_attention_output_projection_ms=452.78 decode_ffn_gemm_ms=3597.11 decode_output_head_ms=2462.51 decode_kernel_ms=7838.23
non_gemm_core_ms=982.86 (attention softmax/KV + RMSNorm + RoPE + elementwise/residual)
layer,qkv_ms,o_proj_ms,ffn_ms,total_projection_ms,pct_kernel_ms,projection_ms_per_token
0,289.43,97.46,795.56,1182.44,2.91,8.21
1,288.72,97.97,798.18,1184.88,2.91,8.23
2,290.36,97.01,798.88,1186.26,2.92,8.24
3,289.99,97.28,794.52,1181.80,2.91,8.21
4,289.42,97.69,800.08,1187.18,2.92,8.24
5,289.24,97.39,797.56,1184.18,2.91,8.22
6,289.34,97.43,798.65,1185.42,2.92,8.23
7,288.83,97.49,796.95,1183.27,2.91,8.22
8,288.58,97.10,798.45,1184.13,2.91,8.22
9,289.06,97.81,797.30,1184.17,2.91,8.22
10,288.36,96.77,794.33,1179.46,2.90,8.19
11,289.28,97.05,799.18,1185.50,2.92,8.23
12,288.92,97.13,797.79,1183.83,2.91,8.22
13,289.78,96.77,795.01,1181.56,2.91,8.21
14,289.16,97.22,796.37,1182.75,2.91,8.21
15,289.34,96.89,796.59,1182.82,2.91,8.21
16,289.25,97.21,796.80,1183.26,2.91,8.22
17,289.08,97.35,798.62,1185.05,2.91,8.23
18,289.35,96.91,797.92,1184.18,2.91,8.22
19,289.59,97.75,796.03,1183.37,2.91,8.22
20,290.89,98.89,810.40,1200.18,2.95,8.33
21,289.76,97.50,798.76,1186.01,2.92,8.24
22,289.56,97.26,798.02,1184.84,2.91,8.23
23,289.06,98.36,798.10,1185.52,2.92,8.23
24,289.00,97.04,798.27,1184.32,2.91,8.22
25,290.13,97.62,798.96,1186.70,2.92,8.24
26,288.92,97.31,794.77,1181.00,2.90,8.20
27,289.09,96.85,797.31,1183.24,2.91,8.22
28,289.41,96.94,798.52,1184.87,2.91,8.23
29,288.94,97.41,797.89,1184.24,2.91,8.22
30,289.10,97.50,798.84,1185.44,2.92,8.23
31,289.45,96.97,798.03,1184.45,2.91,8.23
profile_csv=sevenb-ffn-kernel-ab/optimized-1.csv
