# MemVanta trained-model layer profile
prefill_ms=44412.7 decode_total_ms=9841.76 sampling_ms=0.66311
prefill_cycles_per_token=848497490.31 decode_cycles_per_token=1504202017.25
qkv_projection_ms=12856.98 attention_output_projection_ms=4218.80 ffn_gemm_ms=32953.22 output_head_ms=3023.79
prefill_qkv_projection_ms=11164.23 prefill_attention_output_projection_ms=3642.67 prefill_ffn_gemm_ms=28387.13 prefill_output_head_ms=355.45 prefill_kernel_ms=43549.47
decode_qkv_projection_ms=1692.75 decode_attention_output_projection_ms=576.13 decode_ffn_gemm_ms=4566.09 decode_output_head_ms=2668.34 decode_kernel_ms=9503.31
non_gemm_core_ms=1201.03 (attention softmax/KV + RMSNorm + RoPE + elementwise/residual)
layer,qkv_ms,o_proj_ms,ffn_ms,total_projection_ms,pct_kernel_ms,projection_ms_per_token
0,397.81,128.90,1025.93,1552.64,2.93,10.78
1,401.99,135.15,1032.17,1569.31,2.96,10.90
2,400.58,132.65,1032.85,1566.07,2.95,10.88
3,402.10,134.28,1035.18,1571.56,2.96,10.91
4,403.11,133.75,1041.28,1578.15,2.97,10.96
5,403.45,134.35,1030.73,1568.53,2.96,10.89
6,401.58,129.20,1021.05,1551.83,2.93,10.78
7,402.89,134.10,1023.15,1560.14,2.94,10.83
8,399.09,129.21,1018.51,1546.81,2.92,10.74
9,403.87,132.53,1029.96,1566.37,2.95,10.88
10,404.32,133.86,1037.58,1575.77,2.97,10.94
11,400.43,133.99,1035.08,1569.51,2.96,10.90
12,401.83,133.66,1031.10,1566.59,2.95,10.88
13,405.77,130.17,1022.26,1558.19,2.94,10.82
14,400.81,132.06,1031.88,1564.75,2.95,10.87
15,401.12,130.64,1023.75,1555.50,2.93,10.80
16,404.15,130.65,1035.14,1569.94,2.96,10.90
17,402.53,131.10,1026.28,1559.92,2.94,10.83
18,403.16,132.38,1023.88,1559.42,2.94,10.83
19,402.61,132.58,1030.68,1565.87,2.95,10.87
20,400.99,130.74,1026.69,1558.42,2.94,10.82
21,402.39,134.11,1040.55,1577.04,2.97,10.95
22,392.82,126.67,1028.88,1548.37,2.92,10.75
23,401.34,134.54,1034.90,1570.78,2.96,10.91
24,400.42,131.77,1028.03,1560.21,2.94,10.83
25,400.93,133.33,1035.93,1570.18,2.96,10.90
26,405.90,131.28,1015.29,1552.47,2.93,10.78
27,401.65,131.15,1035.67,1568.47,2.96,10.89
28,400.47,130.74,1028.85,1560.06,2.94,10.83
29,401.48,129.70,1032.50,1563.67,2.95,10.86
30,403.64,130.89,1030.38,1564.91,2.95,10.87
31,401.74,128.67,1027.13,1557.54,2.94,10.82
profile_csv=sevenb-ffn-kernel-ab/optimized-2.csv
