# MemVanta trained-model layer profile
prefill_ms=34531 decode_total_ms=12055.2 sampling_ms=0.998087
prefill_cycles_per_token=701405264.29 decode_cycles_per_token=1958953875.00
qkv_projection_ms=10641.41 attention_output_projection_ms=3557.18 ffn_gemm_ms=28286.34 output_head_ms=2792.73
prefill_qkv_projection_ms=8401.30 prefill_attention_output_projection_ms=2796.71 prefill_ffn_gemm_ms=22308.03 prefill_output_head_ms=306.14 prefill_kernel_ms=33812.17
decode_qkv_projection_ms=2240.11 decode_attention_output_projection_ms=760.47 decode_ffn_gemm_ms=5978.32 decode_output_head_ms=2486.58 decode_kernel_ms=11465.49
non_gemm_core_ms=1307.57 (attention softmax/KV + RMSNorm + RoPE + elementwise/residual)
layer,qkv_ms,o_proj_ms,ffn_ms,total_projection_ms,pct_kernel_ms,projection_ms_per_token
0,333.63,111.98,886.58,1332.19,2.94,9.25
1,327.07,110.33,869.16,1306.56,2.89,9.07
2,334.87,113.75,902.18,1350.80,2.98,9.38
3,339.85,110.29,882.48,1332.62,2.94,9.25
4,326.21,110.28,870.72,1307.21,2.89,9.08
5,326.44,109.89,866.24,1302.57,2.88,9.05
6,330.03,109.91,897.80,1337.73,2.95,9.29
7,339.37,111.09,881.42,1331.88,2.94,9.25
8,326.71,109.53,876.73,1312.97,2.90,9.12
9,334.28,112.56,881.82,1328.67,2.93,9.23
10,336.23,111.66,891.96,1339.84,2.96,9.30
11,335.76,110.57,884.47,1330.80,2.94,9.24
12,346.31,115.12,904.04,1365.47,3.02,9.48
13,326.31,108.80,866.62,1301.74,2.88,9.04
14,325.56,110.34,877.63,1313.53,2.90,9.12
15,326.63,110.33,871.83,1308.79,2.89,9.09
16,329.71,109.57,898.59,1337.87,2.95,9.29
17,332.26,111.72,880.54,1324.52,2.93,9.20
18,329.37,113.64,898.31,1341.31,2.96,9.31
19,334.01,109.60,894.90,1338.51,2.96,9.30
20,343.50,117.31,896.83,1357.64,3.00,9.43
21,330.96,108.68,896.63,1336.27,2.95,9.28
22,339.99,114.49,904.06,1358.55,3.00,9.43
23,332.54,111.12,883.21,1326.87,2.93,9.21
24,329.18,110.54,874.50,1314.23,2.90,9.13
25,332.02,109.59,873.67,1315.28,2.90,9.13
26,330.44,111.04,889.55,1331.03,2.94,9.24
27,333.69,109.73,879.91,1323.34,2.92,9.19
28,337.60,112.64,882.45,1332.69,2.94,9.25
29,336.43,111.89,873.29,1321.61,2.92,9.18
30,326.98,108.09,877.40,1312.46,2.90,9.11
31,327.45,111.11,870.83,1309.40,2.89,9.09
profile_csv=sevenb-ffn-kernel-ab/optimized-3.csv
