phase,layer,kind,tensor,type,cols,rows,batch,calls,ms
prefill,0,q_proj,blk.0.attn_q.weight,Q4_0,4096,4096,16,8,98.880890
prefill,0,k_proj,blk.0.attn_k.weight,Q4_0,4096,4096,16,8,99.610406
prefill,0,v_proj,blk.0.attn_v.weight,Q4_0,4096,4096,16,8,98.859694
prefill,0,o_proj,blk.0.attn_output.weight,Q4_0,4096,4096,16,8,98.995602
prefill,0,ffn_gate,blk.0.ffn_gate.weight,Q4_0,4096,11008,16,8,261.729470
prefill,0,ffn_up,blk.0.ffn_up.weight,Q4_0,4096,11008,16,8,261.458486
prefill,0,ffn_down,blk.0.ffn_down.weight,Q4_0,11008,4096,16,8,290.048109
prefill,1,q_proj,blk.1.attn_q.weight,Q4_0,4096,4096,16,8,98.365763
prefill,1,k_proj,blk.1.attn_k.weight,Q4_0,4096,4096,16,8,97.986114
prefill,1,v_proj,blk.1.attn_v.weight,Q4_0,4096,4096,16,8,97.847520
prefill,1,o_proj,blk.1.attn_output.weight,Q4_0,4096,4096,16,8,98.728064
prefill,1,ffn_gate,blk.1.ffn_gate.weight,Q4_0,4096,11008,16,8,261.772506
prefill,1,ffn_up,blk.1.ffn_up.weight,Q4_0,4096,11008,16,8,260.395577
prefill,1,ffn_down,blk.1.ffn_down.weight,Q4_0,11008,4096,16,8,296.461595
prefill,2,q_proj,blk.2.attn_q.weight,Q4_0,4096,4096,16,8,98.133895
prefill,2,k_proj,blk.2.attn_k.weight,Q4_0,4096,4096,16,8,98.441755
prefill,2,v_proj,blk.2.attn_v.weight,Q4_0,4096,4096,16,8,98.109071
prefill,2,o_proj,blk.2.attn_output.weight,Q4_0,4096,4096,16,8,98.354154
prefill,2,ffn_gate,blk.2.ffn_gate.weight,Q4_0,4096,11008,16,8,262.118449
prefill,2,ffn_up,blk.2.ffn_up.weight,Q4_0,4096,11008,16,8,261.490467
prefill,2,ffn_down,blk.2.ffn_down.weight,Q4_0,11008,4096,16,8,296.295308
prefill,3,q_proj,blk.3.attn_q.weight,Q4_0,4096,4096,16,8,98.365301
prefill,3,k_proj,blk.3.attn_k.weight,Q4_0,4096,4096,16,8,99.071151
prefill,3,v_proj,blk.3.attn_v.weight,Q4_0,4096,4096,16,8,98.860240
prefill,3,o_proj,blk.3.attn_output.weight,Q4_0,4096,4096,16,8,99.010993
prefill,3,ffn_gate,blk.3.ffn_gate.weight,Q4_0,4096,11008,16,8,261.950462
prefill,3,ffn_up,blk.3.ffn_up.weight,Q4_0,4096,11008,16,8,261.856213
prefill,3,ffn_down,blk.3.ffn_down.weight,Q4_0,11008,4096,16,8,295.476527
prefill,4,q_proj,blk.4.attn_q.weight,Q4_0,4096,4096,16,8,97.876812
prefill,4,k_proj,blk.4.attn_k.weight,Q4_0,4096,4096,16,8,98.054480
prefill,4,v_proj,blk.4.attn_v.weight,Q4_0,4096,4096,16,8,99.091064
prefill,4,o_proj,blk.4.attn_output.weight,Q4_0,4096,4096,16,8,98.357996
prefill,4,ffn_gate,blk.4.ffn_gate.weight,Q4_0,4096,11008,16,8,261.680380
prefill,4,ffn_up,blk.4.ffn_up.weight,Q4_0,4096,11008,16,8,262.606225
prefill,4,ffn_down,blk.4.ffn_down.weight,Q4_0,11008,4096,16,8,288.128588
prefill,5,q_proj,blk.5.attn_q.weight,Q4_0,4096,4096,16,8,98.061976
prefill,5,k_proj,blk.5.attn_k.weight,Q4_0,4096,4096,16,8,98.955375
prefill,5,v_proj,blk.5.attn_v.weight,Q4_0,4096,4096,16,8,98.870407
prefill,5,o_proj,blk.5.attn_output.weight,Q4_0,4096,4096,16,8,98.195708
prefill,5,ffn_gate,blk.5.ffn_gate.weight,Q4_0,4096,11008,16,8,262.677037
prefill,5,ffn_up,blk.5.ffn_up.weight,Q4_0,4096,11008,16,8,261.797311
prefill,5,ffn_down,blk.5.ffn_down.weight,Q4_0,11008,4096,16,8,290.624552
prefill,6,q_proj,blk.6.attn_q.weight,Q4_0,4096,4096,16,8,97.873898
prefill,6,k_proj,blk.6.attn_k.weight,Q4_0,4096,4096,16,8,98.506843
prefill,6,v_proj,blk.6.attn_v.weight,Q4_0,4096,4096,16,8,98.410504
prefill,6,o_proj,blk.6.attn_output.weight,Q4_0,4096,4096,16,8,97.655124
prefill,6,ffn_gate,blk.6.ffn_gate.weight,Q4_0,4096,11008,16,8,262.427267
prefill,6,ffn_up,blk.6.ffn_up.weight,Q4_0,4096,11008,16,8,261.684608
prefill,6,ffn_down,blk.6.ffn_down.weight,Q4_0,11008,4096,16,8,297.037402
prefill,7,q_proj,blk.7.attn_q.weight,Q4_0,4096,4096,16,8,98.106853
prefill,7,k_proj,blk.7.attn_k.weight,Q4_0,4096,4096,16,8,98.327596
prefill,7,v_proj,blk.7.attn_v.weight,Q4_0,4096,4096,16,8,98.168404
prefill,7,o_proj,blk.7.attn_output.weight,Q4_0,4096,4096,16,8,98.536275
prefill,7,ffn_gate,blk.7.ffn_gate.weight,Q4_0,4096,11008,16,8,261.406359
prefill,7,ffn_up,blk.7.ffn_up.weight,Q4_0,4096,11008,16,8,262.563332
prefill,7,ffn_down,blk.7.ffn_down.weight,Q4_0,11008,4096,16,8,298.237738
prefill,8,q_proj,blk.8.attn_q.weight,Q4_0,4096,4096,16,8,98.458405
prefill,8,k_proj,blk.8.attn_k.weight,Q4_0,4096,4096,16,8,97.984091
prefill,8,v_proj,blk.8.attn_v.weight,Q4_0,4096,4096,16,8,98.176027
prefill,8,o_proj,blk.8.attn_output.weight,Q4_0,4096,4096,16,8,98.039580
prefill,8,ffn_gate,blk.8.ffn_gate.weight,Q4_0,4096,11008,16,8,261.606817
prefill,8,ffn_up,blk.8.ffn_up.weight,Q4_0,4096,11008,16,8,262.339180
prefill,8,ffn_down,blk.8.ffn_down.weight,Q4_0,11008,4096,16,8,298.760286
prefill,9,q_proj,blk.9.attn_q.weight,Q4_0,4096,4096,16,8,99.099978
prefill,9,k_proj,blk.9.attn_k.weight,Q4_0,4096,4096,16,8,98.355266
prefill,9,v_proj,blk.9.attn_v.weight,Q4_0,4096,4096,16,8,98.146217
prefill,9,o_proj,blk.9.attn_output.weight,Q4_0,4096,4096,16,8,97.751667
prefill,9,ffn_gate,blk.9.ffn_gate.weight,Q4_0,4096,11008,16,8,261.577048
prefill,9,ffn_up,blk.9.ffn_up.weight,Q4_0,4096,11008,16,8,261.368663
prefill,9,ffn_down,blk.9.ffn_down.weight,Q4_0,11008,4096,16,8,296.072555
prefill,10,q_proj,blk.10.attn_q.weight,Q4_0,4096,4096,16,8,97.900533
prefill,10,k_proj,blk.10.attn_k.weight,Q4_0,4096,4096,16,8,97.748110
prefill,10,v_proj,blk.10.attn_v.weight,Q4_0,4096,4096,16,8,97.907808
prefill,10,o_proj,blk.10.attn_output.weight,Q4_0,4096,4096,16,8,98.928005
prefill,10,ffn_gate,blk.10.ffn_gate.weight,Q4_0,4096,11008,16,8,261.990469
prefill,10,ffn_up,blk.10.ffn_up.weight,Q4_0,4096,11008,16,8,261.330309
prefill,10,ffn_down,blk.10.ffn_down.weight,Q4_0,11008,4096,16,8,296.470163
prefill,11,q_proj,blk.11.attn_q.weight,Q4_0,4096,4096,16,8,98.719504
prefill,11,k_proj,blk.11.attn_k.weight,Q4_0,4096,4096,16,8,97.856878
prefill,11,v_proj,blk.11.attn_v.weight,Q4_0,4096,4096,16,8,98.398139
prefill,11,o_proj,blk.11.attn_output.weight,Q4_0,4096,4096,16,8,97.819549
prefill,11,ffn_gate,blk.11.ffn_gate.weight,Q4_0,4096,11008,16,8,262.211440
prefill,11,ffn_up,blk.11.ffn_up.weight,Q4_0,4096,11008,16,8,261.835321
prefill,11,ffn_down,blk.11.ffn_down.weight,Q4_0,11008,4096,16,8,297.633015
prefill,12,q_proj,blk.12.attn_q.weight,Q4_0,4096,4096,16,8,98.089579
prefill,12,k_proj,blk.12.attn_k.weight,Q4_0,4096,4096,16,8,98.524332
