# MemVanta trained-model layer profile
prefill_ms=39766 decode_total_ms=9037.73 sampling_ms=0.376141
prefill_cycles_per_token=759725700.95 decode_cycles_per_token=1381322136.25
qkv_projection_ms=10870.43 attention_output_projection_ms=3632.86 ffn_gemm_ms=29728.59 output_head_ms=3239.60
prefill_qkv_projection_ms=9417.30 prefill_attention_output_projection_ms=3135.59 prefill_ffn_gemm_ms=25886.27 prefill_output_head_ms=375.67 prefill_kernel_ms=38814.83
decode_qkv_projection_ms=1453.13 decode_attention_output_projection_ms=497.26 decode_ffn_gemm_ms=3842.33 decode_output_head_ms=2863.93 decode_kernel_ms=8656.65
non_gemm_core_ms=1331.84 (attention softmax/KV + RMSNorm + RoPE + elementwise/residual)
layer,qkv_ms,o_proj_ms,ffn_ms,total_projection_ms,pct_kernel_ms,projection_ms_per_token
0,353.92,117.52,945.70,1417.13,2.99,9.84
1,346.92,116.47,941.60,1404.99,2.96,9.76
2,352.66,117.44,942.24,1412.34,2.98,9.81
3,345.88,115.88,936.06,1397.81,2.94,9.71
4,338.87,113.25,924.32,1376.43,2.90,9.56
5,342.84,112.66,928.17,1383.67,2.91,9.61
6,338.04,113.23,929.52,1380.79,2.91,9.59
7,338.43,112.92,925.57,1376.92,2.90,9.56
8,337.13,112.74,926.81,1376.69,2.90,9.56
9,337.64,113.36,923.81,1374.81,2.90,9.55
10,337.87,113.56,924.88,1376.31,2.90,9.56
11,337.87,112.59,925.02,1375.48,2.90,9.55
12,337.68,112.71,927.36,1377.75,2.90,9.57
13,337.27,116.93,926.52,1380.71,2.91,9.59
14,338.00,112.81,926.28,1377.09,2.90,9.56
15,342.47,113.97,925.68,1382.11,2.91,9.60
16,337.03,112.87,927.22,1377.12,2.90,9.56
17,337.40,112.64,926.01,1376.05,2.90,9.56
18,336.75,112.78,927.39,1376.93,2.90,9.56
19,336.79,112.61,931.18,1380.58,2.91,9.59
20,338.41,112.60,928.31,1379.32,2.91,9.58
21,336.35,113.84,931.72,1381.90,2.91,9.60
22,338.74,112.09,926.33,1377.16,2.90,9.56
23,341.88,113.89,929.76,1385.54,2.92,9.62
24,337.36,112.61,925.43,1375.39,2.90,9.55
25,336.48,112.58,927.61,1376.68,2.90,9.56
26,337.63,113.39,927.54,1378.56,2.90,9.57
27,338.71,112.67,926.70,1378.07,2.90,9.57
28,340.29,113.42,925.62,1379.33,2.91,9.58
29,336.82,112.31,931.08,1380.21,2.91,9.58
30,339.10,112.11,927.09,1378.30,2.90,9.57
31,337.21,112.45,930.05,1379.71,2.91,9.58
profile_csv=sevenb-ffn-tuning/fp32-b16.csv
