# MemVanta trained-model layer profile
prefill_ms=44411.6 decode_total_ms=8793.2 sampling_ms=0.347307
prefill_cycles_per_token=848478207.28 decode_cycles_per_token=1343945478.75
qkv_projection_ms=12305.91 attention_output_projection_ms=4096.70 ffn_gemm_ms=32401.11 output_head_ms=3195.70
prefill_qkv_projection_ms=10923.93 prefill_attention_output_projection_ms=3621.54 prefill_ffn_gemm_ms=28629.77 prefill_output_head_ms=375.57 prefill_kernel_ms=43550.82
decode_qkv_projection_ms=1381.98 decode_attention_output_projection_ms=475.15 decode_ffn_gemm_ms=3771.34 decode_output_head_ms=2820.13 decode_kernel_ms=8448.60
non_gemm_core_ms=1204.99 (attention softmax/KV + RMSNorm + RoPE + elementwise/residual)
layer,qkv_ms,o_proj_ms,ffn_ms,total_projection_ms,pct_kernel_ms,projection_ms_per_token
0,386.68,127.42,1013.33,1527.43,2.94,10.61
1,384.05,127.20,1009.95,1521.20,2.93,10.56
2,385.70,126.49,1006.96,1519.15,2.92,10.55
3,385.97,128.43,1014.99,1529.39,2.94,10.62
4,390.02,130.58,1015.00,1535.60,2.95,10.66
5,381.69,130.36,1017.85,1529.90,2.94,10.62
6,384.94,128.92,1008.05,1521.91,2.93,10.57
7,380.09,129.37,1020.94,1530.40,2.94,10.63
8,384.77,129.00,1013.93,1527.70,2.94,10.61
9,385.26,126.84,1007.18,1519.28,2.92,10.55
10,381.76,127.28,1020.51,1529.54,2.94,10.62
11,386.16,129.89,1014.13,1530.18,2.94,10.63
12,382.02,126.45,1016.05,1524.51,2.93,10.59
13,382.22,129.18,1008.07,1519.48,2.92,10.55
14,384.21,129.23,1009.02,1522.45,2.93,10.57
15,388.04,127.08,1020.97,1536.09,2.95,10.67
16,382.61,128.39,1017.20,1528.20,2.94,10.61
17,391.17,129.03,1012.06,1532.26,2.95,10.64
18,387.41,130.04,1008.26,1525.72,2.93,10.60
19,382.28,127.29,1012.99,1522.56,2.93,10.57
20,380.52,128.20,1014.81,1523.54,2.93,10.58
21,385.71,130.70,1009.80,1526.21,2.94,10.60
22,385.23,125.62,1012.21,1523.06,2.93,10.58
23,385.25,125.60,1010.23,1521.08,2.93,10.56
24,381.55,128.75,1014.26,1524.55,2.93,10.59
25,384.96,126.45,1011.17,1522.58,2.93,10.57
26,386.52,127.75,1017.11,1531.37,2.94,10.63
27,384.40,125.55,1005.34,1515.29,2.91,10.52
28,387.49,126.76,1007.52,1521.77,2.93,10.57
29,379.85,129.41,1013.07,1522.32,2.93,10.57
30,382.84,126.69,1011.67,1521.20,2.93,10.56
31,384.54,126.78,1006.47,1517.78,2.92,10.54
profile_csv=sevenb-ffn-tuning/fp32-b64.csv
