# MemVanta trained-model layer profile
prefill_ms=136404 decode_total_ms=11416.2 sampling_ms=0.357214
prefill_cycles_per_token=2606015998.23 decode_cycles_per_token=1744856931.50
qkv_projection_ms=35872.61 attention_output_projection_ms=11957.30 ffn_gemm_ms=95898.92 output_head_ms=3043.88
non_gemm_core_ms=1047.30 (attention softmax/KV + RMSNorm + RoPE + elementwise/residual)
layer,qkv_ms,o_proj_ms,ffn_ms,total_projection_ms,pct_kernel_ms,projection_ms_per_token
0,1124.24,373.79,2997.06,4495.09,3.06,31.22
1,1121.33,373.58,2996.91,4491.82,3.06,31.19
2,1120.59,373.80,2997.93,4492.33,3.06,31.20
3,1121.22,373.99,2996.43,4491.64,3.06,31.19
4,1120.80,373.83,2996.66,4491.30,3.06,31.19
5,1121.79,374.43,2995.30,4491.52,3.06,31.19
6,1120.82,373.35,2995.46,4489.63,3.06,31.18
7,1120.85,373.11,2997.83,4491.79,3.06,31.19
8,1119.77,373.22,2998.10,4491.10,3.06,31.19
9,1120.09,374.12,2998.13,4492.33,3.06,31.20
10,1120.96,373.31,2995.54,4489.80,3.06,31.18
11,1120.79,373.21,2995.42,4489.41,3.06,31.18
12,1121.63,373.83,3001.89,4497.34,3.06,31.23
13,1120.43,373.39,2996.84,4490.65,3.06,31.19
14,1121.94,374.22,2997.29,4493.46,3.06,31.20
15,1121.09,373.24,2996.10,4490.43,3.06,31.18
16,1121.59,373.78,2996.19,4491.56,3.06,31.19
17,1121.70,373.41,2996.04,4491.16,3.06,31.19
18,1120.06,374.00,2995.68,4489.74,3.06,31.18
19,1119.54,373.34,2995.31,4488.18,3.06,31.17
20,1120.31,373.46,2995.50,4489.26,3.06,31.18
21,1120.73,373.33,2995.06,4489.12,3.06,31.17
22,1120.66,373.40,2996.15,4490.21,3.06,31.18
23,1120.18,373.85,2996.74,4490.77,3.06,31.19
24,1121.56,373.22,2995.40,4490.18,3.06,31.18
25,1122.56,376.31,2998.44,4497.31,3.06,31.23
26,1120.76,373.17,2997.32,4491.25,3.06,31.19
27,1121.16,373.84,2997.58,4492.59,3.06,31.20
28,1120.30,373.31,2994.95,4488.56,3.06,31.17
29,1120.36,373.32,2996.76,4490.43,3.06,31.18
30,1122.51,373.58,2997.64,4493.73,3.06,31.21
31,1120.31,373.57,3001.26,4495.14,3.06,31.22
profile_csv=sevenb-ffn-tuning/q8act-b16.csv
