phase,layer,kind,tensor,type,cols,rows,batch,calls,ms
prefill,0,q_proj,blk.0.attn_q.weight,Q4_0,4096,4096,32,4,232.695504
prefill,0,k_proj,blk.0.attn_k.weight,Q4_0,4096,4096,32,4,232.238009
prefill,0,v_proj,blk.0.attn_v.weight,Q4_0,4096,4096,32,4,232.172731
prefill,0,o_proj,blk.0.attn_output.weight,Q4_0,4096,4096,32,4,231.995863
prefill,0,ffn_gate,blk.0.ffn_gate.weight,Q4_0,4096,11008,32,4,618.301143
prefill,0,ffn_up,blk.0.ffn_up.weight,Q4_0,4096,11008,32,4,618.491538
prefill,0,ffn_down,blk.0.ffn_down.weight,Q4_0,11008,4096,32,4,633.027723
prefill,1,q_proj,blk.1.attn_q.weight,Q4_0,4096,4096,32,4,232.120414
prefill,1,k_proj,blk.1.attn_k.weight,Q4_0,4096,4096,32,4,231.870770
prefill,1,v_proj,blk.1.attn_v.weight,Q4_0,4096,4096,32,4,231.956850
prefill,1,o_proj,blk.1.attn_output.weight,Q4_0,4096,4096,32,4,231.786182
prefill,1,ffn_gate,blk.1.ffn_gate.weight,Q4_0,4096,11008,32,4,618.496810
prefill,1,ffn_up,blk.1.ffn_up.weight,Q4_0,4096,11008,32,4,618.641139
prefill,1,ffn_down,blk.1.ffn_down.weight,Q4_0,11008,4096,32,4,631.692208
prefill,2,q_proj,blk.2.attn_q.weight,Q4_0,4096,4096,32,4,232.132915
prefill,2,k_proj,blk.2.attn_k.weight,Q4_0,4096,4096,32,4,231.827519
prefill,2,v_proj,blk.2.attn_v.weight,Q4_0,4096,4096,32,4,231.956273
prefill,2,o_proj,blk.2.attn_output.weight,Q4_0,4096,4096,32,4,231.898170
prefill,2,ffn_gate,blk.2.ffn_gate.weight,Q4_0,4096,11008,32,4,618.781335
prefill,2,ffn_up,blk.2.ffn_up.weight,Q4_0,4096,11008,32,4,618.329415
prefill,2,ffn_down,blk.2.ffn_down.weight,Q4_0,11008,4096,32,4,631.393484
prefill,3,q_proj,blk.3.attn_q.weight,Q4_0,4096,4096,32,4,231.899883
prefill,3,k_proj,blk.3.attn_k.weight,Q4_0,4096,4096,32,4,232.095307
prefill,3,v_proj,blk.3.attn_v.weight,Q4_0,4096,4096,32,4,231.705210
prefill,3,o_proj,blk.3.attn_output.weight,Q4_0,4096,4096,32,4,232.118902
prefill,3,ffn_gate,blk.3.ffn_gate.weight,Q4_0,4096,11008,32,4,618.558683
prefill,3,ffn_up,blk.3.ffn_up.weight,Q4_0,4096,11008,32,4,618.238457
prefill,3,ffn_down,blk.3.ffn_down.weight,Q4_0,11008,4096,32,4,630.798819
prefill,4,q_proj,blk.4.attn_q.weight,Q4_0,4096,4096,32,4,232.245174
prefill,4,k_proj,blk.4.attn_k.weight,Q4_0,4096,4096,32,4,231.613870
prefill,4,v_proj,blk.4.attn_v.weight,Q4_0,4096,4096,32,4,231.857294
prefill,4,o_proj,blk.4.attn_output.weight,Q4_0,4096,4096,32,4,231.862745
prefill,4,ffn_gate,blk.4.ffn_gate.weight,Q4_0,4096,11008,32,4,618.508272
prefill,4,ffn_up,blk.4.ffn_up.weight,Q4_0,4096,11008,32,4,618.366505
prefill,4,ffn_down,blk.4.ffn_down.weight,Q4_0,11008,4096,32,4,630.837939
prefill,5,q_proj,blk.5.attn_q.weight,Q4_0,4096,4096,32,4,232.518646
prefill,5,k_proj,blk.5.attn_k.weight,Q4_0,4096,4096,32,4,231.755304
prefill,5,v_proj,blk.5.attn_v.weight,Q4_0,4096,4096,32,4,231.820784
prefill,5,o_proj,blk.5.attn_output.weight,Q4_0,4096,4096,32,4,231.824018
prefill,5,ffn_gate,blk.5.ffn_gate.weight,Q4_0,4096,11008,32,4,618.318428
prefill,5,ffn_up,blk.5.ffn_up.weight,Q4_0,4096,11008,32,4,618.432728
prefill,5,ffn_down,blk.5.ffn_down.weight,Q4_0,11008,4096,32,4,630.841507
prefill,6,q_proj,blk.6.attn_q.weight,Q4_0,4096,4096,32,4,232.080388
prefill,6,k_proj,blk.6.attn_k.weight,Q4_0,4096,4096,32,4,231.805026
prefill,6,v_proj,blk.6.attn_v.weight,Q4_0,4096,4096,32,4,231.835352
prefill,6,o_proj,blk.6.attn_output.weight,Q4_0,4096,4096,32,4,231.768658
prefill,6,ffn_gate,blk.6.ffn_gate.weight,Q4_0,4096,11008,32,4,618.448645
prefill,6,ffn_up,blk.6.ffn_up.weight,Q4_0,4096,11008,32,4,618.374338
prefill,6,ffn_down,blk.6.ffn_down.weight,Q4_0,11008,4096,32,4,630.479814
prefill,7,q_proj,blk.7.attn_q.weight,Q4_0,4096,4096,32,4,235.570137
prefill,7,k_proj,blk.7.attn_k.weight,Q4_0,4096,4096,32,4,231.720142
prefill,7,v_proj,blk.7.attn_v.weight,Q4_0,4096,4096,32,4,231.708791
prefill,7,o_proj,blk.7.attn_output.weight,Q4_0,4096,4096,32,4,231.598785
prefill,7,ffn_gate,blk.7.ffn_gate.weight,Q4_0,4096,11008,32,4,618.471123
prefill,7,ffn_up,blk.7.ffn_up.weight,Q4_0,4096,11008,32,4,618.620653
prefill,7,ffn_down,blk.7.ffn_down.weight,Q4_0,11008,4096,32,4,630.867065
prefill,8,q_proj,blk.8.attn_q.weight,Q4_0,4096,4096,32,4,232.174377
prefill,8,k_proj,blk.8.attn_k.weight,Q4_0,4096,4096,32,4,231.689876
prefill,8,v_proj,blk.8.attn_v.weight,Q4_0,4096,4096,32,4,231.786546
prefill,8,o_proj,blk.8.attn_output.weight,Q4_0,4096,4096,32,4,231.686920
prefill,8,ffn_gate,blk.8.ffn_gate.weight,Q4_0,4096,11008,32,4,618.938220
prefill,8,ffn_up,blk.8.ffn_up.weight,Q4_0,4096,11008,32,4,618.751601
prefill,8,ffn_down,blk.8.ffn_down.weight,Q4_0,11008,4096,32,4,630.096946
prefill,9,q_proj,blk.9.attn_q.weight,Q4_0,4096,4096,32,4,231.923805
prefill,9,k_proj,blk.9.attn_k.weight,Q4_0,4096,4096,32,4,232.100001
prefill,9,v_proj,blk.9.attn_v.weight,Q4_0,4096,4096,32,4,231.664291
prefill,9,o_proj,blk.9.attn_output.weight,Q4_0,4096,4096,32,4,231.712709
prefill,9,ffn_gate,blk.9.ffn_gate.weight,Q4_0,4096,11008,32,4,618.316596
prefill,9,ffn_up,blk.9.ffn_up.weight,Q4_0,4096,11008,32,4,617.965045
prefill,9,ffn_down,blk.9.ffn_down.weight,Q4_0,11008,4096,32,4,630.506565
prefill,10,q_proj,blk.10.attn_q.weight,Q4_0,4096,4096,32,4,231.809159
prefill,10,k_proj,blk.10.attn_k.weight,Q4_0,4096,4096,32,4,231.833966
prefill,10,v_proj,blk.10.attn_v.weight,Q4_0,4096,4096,32,4,231.646216
prefill,10,o_proj,blk.10.attn_output.weight,Q4_0,4096,4096,32,4,231.887183
prefill,10,ffn_gate,blk.10.ffn_gate.weight,Q4_0,4096,11008,32,4,618.324584
prefill,10,ffn_up,blk.10.ffn_up.weight,Q4_0,4096,11008,32,4,618.425952
prefill,10,ffn_down,blk.10.ffn_down.weight,Q4_0,11008,4096,32,4,630.410598
prefill,11,q_proj,blk.11.attn_q.weight,Q4_0,4096,4096,32,4,231.845388
prefill,11,k_proj,blk.11.attn_k.weight,Q4_0,4096,4096,32,4,231.980290
prefill,11,v_proj,blk.11.attn_v.weight,Q4_0,4096,4096,32,4,232.048998
prefill,11,o_proj,blk.11.attn_output.weight,Q4_0,4096,4096,32,4,231.723399
prefill,11,ffn_gate,blk.11.ffn_gate.weight,Q4_0,4096,11008,32,4,618.194602
prefill,11,ffn_up,blk.11.ffn_up.weight,Q4_0,4096,11008,32,4,618.591353
prefill,11,ffn_down,blk.11.ffn_down.weight,Q4_0,11008,4096,32,4,631.911623
prefill,12,q_proj,blk.12.attn_q.weight,Q4_0,4096,4096,32,4,232.032340
prefill,12,k_proj,blk.12.attn_k.weight,Q4_0,4096,4096,32,4,231.648831
prefill,12,v_proj,blk.12.attn_v.weight,Q4_0,4096,4096,32,4,231.613164
prefill,12,o_proj,blk.12.attn_output.weight,Q4_0,4096,4096,32,4,231.793608
prefill,12,ffn_gate,blk.12.ffn_gate.weight,Q4_0,4096,11008,32,4,618.656863
prefill,12,ffn_up,blk.12.ffn_up.weight,Q4_0,4096,11008,32,4,618.002691
