# MemVanta trained-model layer profile
prefill_ms=111257 decode_total_ms=9855.77 sampling_ms=0.650033
prefill_cycles_per_token=2125544694.47 decode_cycles_per_token=1506346754.50
qkv_projection_ms=29111.86 attention_output_projection_ms=9718.38 ffn_gemm_ms=78063.10 output_head_ms=3032.53
prefill_qkv_projection_ms=27416.95 prefill_attention_output_projection_ms=9140.30 prefill_ffn_gemm_ms=73492.59 prefill_output_head_ms=355.12 prefill_kernel_ms=110404.96
decode_qkv_projection_ms=1694.91 decode_attention_output_projection_ms=578.09 decode_ffn_gemm_ms=4570.51 decode_output_head_ms=2677.41 decode_kernel_ms=9520.91
non_gemm_core_ms=1186.13 (attention softmax/KV + RMSNorm + RoPE + elementwise/residual)
layer,qkv_ms,o_proj_ms,ffn_ms,total_projection_ms,pct_kernel_ms,projection_ms_per_token
0,911.54,303.98,2439.80,3655.32,3.05,25.38
1,909.65,303.28,2438.54,3651.48,3.04,25.36
2,909.10,303.30,2438.32,3650.72,3.04,25.35
3,909.05,303.89,2438.47,3651.40,3.04,25.36
4,910.49,303.20,2438.14,3651.83,3.05,25.36
5,909.24,303.20,2438.94,3651.39,3.04,25.36
6,909.46,303.62,2438.82,3651.89,3.05,25.36
7,910.71,305.04,2439.95,3655.71,3.05,25.39
8,909.13,303.22,2437.70,3650.04,3.04,25.35
9,909.02,303.39,2439.09,3651.50,3.04,25.36
10,910.51,303.27,2438.32,3652.10,3.05,25.36
11,909.02,303.24,2438.09,3650.35,3.04,25.35
12,908.99,303.50,2437.82,3650.31,3.04,25.35
13,909.08,303.95,2440.78,3653.81,3.05,25.37
14,908.92,303.52,2438.04,3650.49,3.04,25.35
15,908.38,303.58,2438.86,3650.83,3.04,25.35
16,909.77,303.74,2438.67,3652.18,3.05,25.36
17,909.16,303.61,2437.98,3650.75,3.04,25.35
18,908.90,303.89,2438.77,3651.56,3.04,25.36
19,909.31,303.16,2438.86,3651.34,3.04,25.36
20,909.13,303.64,2439.25,3652.02,3.05,25.36
21,909.26,303.45,2440.14,3652.84,3.05,25.37
22,909.82,303.23,2438.05,3651.10,3.04,25.35
23,908.86,303.28,2444.50,3656.65,3.05,25.39
24,914.08,308.39,2446.39,3668.86,3.06,25.48
25,909.56,303.82,2439.54,3652.92,3.05,25.37
26,909.19,303.64,2439.79,3652.62,3.05,25.37
27,909.44,303.32,2441.52,3654.28,3.05,25.38
28,909.46,303.83,2441.28,3654.58,3.05,25.38
29,915.52,303.31,2439.29,3658.12,3.05,25.40
30,908.82,303.64,2439.06,3651.52,3.04,25.36
31,909.26,303.25,2440.33,3652.84,3.05,25.37
profile_csv=sevenb-ffn-tuning/q8act-b32.csv
