phase,layer,kind,tensor,type,cols,rows,batch,calls,ms
prefill,0,q_proj,blk.0.attn_q.weight,Q4_0,4096,4096,32,4,80.674644
prefill,0,k_proj,blk.0.attn_k.weight,Q4_0,4096,4096,32,4,81.560704
prefill,0,v_proj,blk.0.attn_v.weight,Q4_0,4096,4096,32,4,81.522105
prefill,0,o_proj,blk.0.attn_output.weight,Q4_0,4096,4096,32,4,79.678146
prefill,0,ffn_gate,blk.0.ffn_gate.weight,Q4_0,4096,11008,32,4,194.439523
prefill,0,ffn_up,blk.0.ffn_up.weight,Q4_0,4096,11008,32,4,193.409795
prefill,0,ffn_down,blk.0.ffn_down.weight,Q4_0,11008,4096,32,4,195.771091
prefill,1,q_proj,blk.1.attn_q.weight,Q4_0,4096,4096,32,4,79.590594
prefill,1,k_proj,blk.1.attn_k.weight,Q4_0,4096,4096,32,4,80.832806
prefill,1,v_proj,blk.1.attn_v.weight,Q4_0,4096,4096,32,4,80.247336
prefill,1,o_proj,blk.1.attn_output.weight,Q4_0,4096,4096,32,4,79.890126
prefill,1,ffn_gate,blk.1.ffn_gate.weight,Q4_0,4096,11008,32,4,193.894654
prefill,1,ffn_up,blk.1.ffn_up.weight,Q4_0,4096,11008,32,4,194.306781
prefill,1,ffn_down,blk.1.ffn_down.weight,Q4_0,11008,4096,32,4,199.423562
prefill,2,q_proj,blk.2.attn_q.weight,Q4_0,4096,4096,32,4,80.679707
prefill,2,k_proj,blk.2.attn_k.weight,Q4_0,4096,4096,32,4,80.353509
prefill,2,v_proj,blk.2.attn_v.weight,Q4_0,4096,4096,32,4,79.788466
prefill,2,o_proj,blk.2.attn_output.weight,Q4_0,4096,4096,32,4,79.539003
prefill,2,ffn_gate,blk.2.ffn_gate.weight,Q4_0,4096,11008,32,4,195.177452
prefill,2,ffn_up,blk.2.ffn_up.weight,Q4_0,4096,11008,32,4,192.809870
prefill,2,ffn_down,blk.2.ffn_down.weight,Q4_0,11008,4096,32,4,196.138985
prefill,3,q_proj,blk.3.attn_q.weight,Q4_0,4096,4096,32,4,79.243916
prefill,3,k_proj,blk.3.attn_k.weight,Q4_0,4096,4096,32,4,79.754339
prefill,3,v_proj,blk.3.attn_v.weight,Q4_0,4096,4096,32,4,81.393412
prefill,3,o_proj,blk.3.attn_output.weight,Q4_0,4096,4096,32,4,79.922911
prefill,3,ffn_gate,blk.3.ffn_gate.weight,Q4_0,4096,11008,32,4,192.443491
prefill,3,ffn_up,blk.3.ffn_up.weight,Q4_0,4096,11008,32,4,192.342910
prefill,3,ffn_down,blk.3.ffn_down.weight,Q4_0,11008,4096,32,4,191.763602
prefill,4,q_proj,blk.4.attn_q.weight,Q4_0,4096,4096,32,4,79.442179
prefill,4,k_proj,blk.4.attn_k.weight,Q4_0,4096,4096,32,4,81.617676
prefill,4,v_proj,blk.4.attn_v.weight,Q4_0,4096,4096,32,4,81.517889
prefill,4,o_proj,blk.4.attn_output.weight,Q4_0,4096,4096,32,4,81.227971
prefill,4,ffn_gate,blk.4.ffn_gate.weight,Q4_0,4096,11008,32,4,197.205497
prefill,4,ffn_up,blk.4.ffn_up.weight,Q4_0,4096,11008,32,4,195.578897
prefill,4,ffn_down,blk.4.ffn_down.weight,Q4_0,11008,4096,32,4,194.987971
prefill,5,q_proj,blk.5.attn_q.weight,Q4_0,4096,4096,32,4,79.862932
prefill,5,k_proj,blk.5.attn_k.weight,Q4_0,4096,4096,32,4,81.134942
prefill,5,v_proj,blk.5.attn_v.weight,Q4_0,4096,4096,32,4,81.302743
prefill,5,o_proj,blk.5.attn_output.weight,Q4_0,4096,4096,32,4,79.526424
prefill,5,ffn_gate,blk.5.ffn_gate.weight,Q4_0,4096,11008,32,4,195.550766
prefill,5,ffn_up,blk.5.ffn_up.weight,Q4_0,4096,11008,32,4,191.993223
prefill,5,ffn_down,blk.5.ffn_down.weight,Q4_0,11008,4096,32,4,197.419207
prefill,6,q_proj,blk.6.attn_q.weight,Q4_0,4096,4096,32,4,80.177356
prefill,6,k_proj,blk.6.attn_k.weight,Q4_0,4096,4096,32,4,80.368492
prefill,6,v_proj,blk.6.attn_v.weight,Q4_0,4096,4096,32,4,81.617564
