# MemVanta trained-model layer profile
prefill_ms=44338 decode_total_ms=10215.4 sampling_ms=0.362395
prefill_cycles_per_token=847071723.49 decode_cycles_per_token=1561303857.56
qkv_projection_ms=12402.25 attention_output_projection_ms=4033.67 ffn_gemm_ms=33760.73 output_head_ms=3053.67
prefill_qkv_projection_ms=10638.14 prefill_attention_output_projection_ms=3429.24 prefill_ffn_gemm_ms=28974.45 prefill_output_head_ms=375.96 prefill_kernel_ms=43417.79
decode_qkv_projection_ms=1764.11 decode_attention_output_projection_ms=604.44 decode_ffn_gemm_ms=4786.28 decode_output_head_ms=2677.71 decode_kernel_ms=9832.54
non_gemm_core_ms=1302.68 (attention softmax/KV + RMSNorm + RoPE + elementwise/residual)
layer,qkv_ms,o_proj_ms,ffn_ms,total_projection_ms,pct_kernel_ms,projection_ms_per_token
0,386.25,126.70,1062.17,1575.12,2.96,10.94
1,387.54,126.58,1063.87,1577.99,2.96,10.96
2,389.61,124.61,1060.37,1574.59,2.96,10.93
3,389.46,124.03,1055.13,1568.62,2.95,10.89
4,385.79,126.80,1066.72,1579.31,2.97,10.97
5,383.40,128.42,1056.93,1568.75,2.95,10.89
6,389.19,127.76,1040.39,1557.34,2.92,10.81
7,389.92,124.69,1071.41,1586.02,2.98,11.01
8,386.07,123.70,1047.70,1557.47,2.92,10.82
9,385.34,125.18,1045.31,1555.84,2.92,10.80
10,389.17,124.75,1057.46,1571.37,2.95,10.91
11,382.87,126.82,1035.15,1544.83,2.90,10.73
12,390.29,124.94,1052.05,1567.28,2.94,10.88
13,382.24,125.46,1043.19,1550.89,2.91,10.77
14,391.03,128.74,1066.45,1586.23,2.98,11.02
15,389.45,126.77,1059.48,1575.70,2.96,10.94
16,383.16,125.73,1060.24,1569.14,2.95,10.90
17,391.97,129.06,1052.51,1573.53,2.95,10.93
18,387.41,127.76,1064.76,1579.92,2.97,10.97
19,390.05,124.41,1062.53,1576.99,2.96,10.95
20,386.02,125.55,1050.23,1561.80,2.93,10.85
21,390.49,126.13,1036.59,1553.21,2.92,10.79
22,386.96,127.07,1047.07,1561.10,2.93,10.84
23,386.51,125.18,1057.37,1569.06,2.95,10.90
24,385.81,126.19,1064.01,1576.02,2.96,10.94
25,384.96,124.04,1041.89,1550.88,2.91,10.77
26,389.30,125.04,1045.75,1560.09,2.93,10.83
27,389.27,126.34,1056.77,1572.38,2.95,10.92
28,388.80,125.80,1060.08,1574.68,2.96,10.94
29,388.97,125.58,1043.90,1558.44,2.93,10.82
30,389.74,126.54,1059.08,1575.37,2.96,10.94
31,385.23,127.33,1074.15,1586.72,2.98,11.02
profile_csv=sevenb-throughput-profile/layer-profile.csv
