phase,layer,kind,tensor,type,cols,rows,batch,calls,ms
prefill,0,q_proj,blk.0.attn_q.weight,Q4_0,288,288,16,2,0.197500
prefill,0,k_proj,blk.0.attn_k.weight,Q4_0,288,288,16,2,0.185009
prefill,0,v_proj,blk.0.attn_v.weight,Q4_0,288,288,16,2,0.181069
prefill,0,o_proj,blk.0.attn_output.weight,Q4_0,288,288,16,2,0.182712
prefill,0,ffn_gate,blk.0.ffn_gate.weight,Q4_0,288,768,16,2,0.399338
prefill,0,ffn_up,blk.0.ffn_up.weight,Q4_0,288,768,16,2,0.407383
prefill,0,ffn_down,blk.0.ffn_down.weight,Q4_0,768,288,16,2,0.366796
prefill,1,q_proj,blk.1.attn_q.weight,Q4_0,288,288,16,2,0.186810
prefill,1,k_proj,blk.1.attn_k.weight,Q4_0,288,288,16,2,0.202408
prefill,1,v_proj,blk.1.attn_v.weight,Q4_0,288,288,16,2,0.180628
prefill,1,o_proj,blk.1.attn_output.weight,Q4_0,288,288,16,2,0.176530
prefill,1,ffn_gate,blk.1.ffn_gate.weight,Q4_0,288,768,16,2,0.402514
prefill,1,ffn_up,blk.1.ffn_up.weight,Q4_0,288,768,16,2,0.388076
prefill,1,ffn_down,blk.1.ffn_down.weight,Q4_0,768,288,16,2,0.399447
prefill,2,q_proj,blk.2.attn_q.weight,Q4_0,288,288,16,2,0.187080
prefill,2,k_proj,blk.2.attn_k.weight,Q4_0,288,288,16,2,0.182632
prefill,2,v_proj,blk.2.attn_v.weight,Q4_0,288,288,16,2,0.184125
prefill,2,o_proj,blk.2.attn_output.weight,Q4_0,288,288,16,2,0.180147
prefill,2,ffn_gate,blk.2.ffn_gate.weight,Q4_0,288,768,16,2,0.426830
prefill,2,ffn_up,blk.2.ffn_up.weight,Q4_0,288,768,16,2,0.402203
prefill,2,ffn_down,blk.2.ffn_down.weight,Q4_0,768,288,16,2,0.371977
prefill,3,q_proj,blk.3.attn_q.weight,Q4_0,288,288,16,2,0.183504
prefill,3,k_proj,blk.3.attn_k.weight,Q4_0,288,288,16,2,0.182392
prefill,3,v_proj,blk.3.attn_v.weight,Q4_0,288,288,16,2,0.177753
prefill,3,o_proj,blk.3.attn_output.weight,Q4_0,288,288,16,2,0.180999
prefill,3,ffn_gate,blk.3.ffn_gate.weight,Q4_0,288,768,16,2,0.400280
prefill,3,ffn_up,blk.3.ffn_up.weight,Q4_0,288,768,16,2,0.402321
prefill,3,ffn_down,blk.3.ffn_down.weight,Q4_0,768,288,16,2,0.381865
prefill,4,q_proj,blk.4.attn_q.weight,Q4_0,288,288,16,2,0.220764
prefill,4,k_proj,blk.4.attn_k.weight,Q4_0,288,288,16,2,0.182331
prefill,4,v_proj,blk.4.attn_v.weight,Q4_0,288,288,16,2,0.172513
prefill,4,o_proj,blk.4.attn_output.weight,Q4_0,288,288,16,2,0.177501
prefill,4,ffn_gate,blk.4.ffn_gate.weight,Q4_0,288,768,16,2,0.415288
prefill,4,ffn_up,blk.4.ffn_up.weight,Q4_0,288,768,16,2,0.397385
prefill,4,ffn_down,blk.4.ffn_down.weight,Q4_0,768,288,16,2,0.383779
prefill,5,q_proj,blk.5.attn_q.weight,Q4_0,288,288,16,2,0.190166
prefill,5,k_proj,blk.5.attn_k.weight,Q4_0,288,288,16,2,0.188113
prefill,5,v_proj,blk.5.attn_v.weight,Q4_0,288,288,16,2,0.193783
prefill,5,o_proj,blk.5.attn_output.weight,Q4_0,288,288,16,2,0.183433
prefill,5,ffn_gate,blk.5.ffn_gate.weight,Q4_0,288,768,16,2,0.427570
prefill,5,ffn_up,blk.5.ffn_up.weight,Q4_0,288,768,16,2,0.403837
prefill,5,ffn_down,blk.5.ffn_down.weight,Q4_0,768,288,16,2,0.369772
prefill,-1,output,output.weight,Q8_0,288,32000,1,1,1.427133
decode,0,q_proj,blk.0.attn_q.weight,Q4_0,288,288,1,8,0.220223
decode,0,k_proj,blk.0.attn_k.weight,Q4_0,288,288,1,8,0.052698
decode,0,v_proj,blk.0.attn_v.weight,Q4_0,288,288,1,8,0.050494
decode,0,o_proj,blk.0.attn_output.weight,Q4_0,288,288,1,8,0.067105
decode,0,ffn_gate,blk.0.ffn_gate.weight,Q4_0,288,768,1,8,0.121167
decode,0,ffn_up,blk.0.ffn_up.weight,Q4_0,288,768,1,8,0.120444
decode,0,ffn_down,blk.0.ffn_down.weight,Q4_0,768,288,1,8,0.165629
decode,1,q_proj,blk.1.attn_q.weight,Q4_0,288,288,1,8,0.050784
decode,1,k_proj,blk.1.attn_k.weight,Q4_0,288,288,1,8,0.050645
decode,1,v_proj,blk.1.attn_v.weight,Q4_0,288,288,1,8,0.050526
decode,1,o_proj,blk.1.attn_output.weight,Q4_0,288,288,1,8,0.066352
decode,1,ffn_gate,blk.1.ffn_gate.weight,Q4_0,288,768,1,8,0.122157
decode,1,ffn_up,blk.1.ffn_up.weight,Q4_0,288,768,1,8,0.121218
decode,1,ffn_down,blk.1.ffn_down.weight,Q4_0,768,288,1,8,0.162444
decode,2,q_proj,blk.2.attn_q.weight,Q4_0,288,288,1,8,0.050194
decode,2,k_proj,blk.2.attn_k.weight,Q4_0,288,288,1,8,0.050425
decode,2,v_proj,blk.2.attn_v.weight,Q4_0,288,288,1,8,0.050713
decode,2,o_proj,blk.2.attn_output.weight,Q4_0,288,288,1,8,0.066215
decode,2,ffn_gate,blk.2.ffn_gate.weight,Q4_0,288,768,1,8,0.121116
decode,2,ffn_up,blk.2.ffn_up.weight,Q4_0,288,768,1,8,0.121398
decode,2,ffn_down,blk.2.ffn_down.weight,Q4_0,768,288,1,8,0.162884
decode,3,q_proj,blk.3.attn_q.weight,Q4_0,288,288,1,8,0.067758
decode,3,k_proj,blk.3.attn_k.weight,Q4_0,288,288,1,8,0.050855
decode,3,v_proj,blk.3.attn_v.weight,Q4_0,288,288,1,8,0.050626
decode,3,o_proj,blk.3.attn_output.weight,Q4_0,288,288,1,8,0.081543
decode,3,ffn_gate,blk.3.ffn_gate.weight,Q4_0,288,768,1,8,0.121329
decode,3,ffn_up,blk.3.ffn_up.weight,Q4_0,288,768,1,8,0.125073
decode,3,ffn_down,blk.3.ffn_down.weight,Q4_0,768,288,1,8,0.163547
decode,4,q_proj,blk.4.attn_q.weight,Q4_0,288,288,1,8,0.050615
decode,4,k_proj,blk.4.attn_k.weight,Q4_0,288,288,1,8,0.050564
