runtime,limit_mib,launcher_exit,exec_exit,result,memory_peak_bytes,service_result
memvanta,1536,0,0,success,[not set],success
llama,1536,0,0,success,[not set],success
memvanta,1280,0,0,success,[not set],success
llama,1280,0,0,success,[not set],success
memvanta,1152,0,0,success,[not set],success
llama,1152,0,0,success,[not set],success
memvanta,1024,0,0,success,[not set],success
llama,1024,0,0,success,[not set],success
memvanta,896,0,0,success,[not set],success
llama,896,0,0,success,[not set],success
memvanta,768,0,0,success,[not set],success
llama,768,0,0,success,[not set],success
memvanta,704,0,0,success,[not set],success
llama,704,0,0,success,[not set],success
memvanta,640,0,0,success,[not set],success
llama,640,0,0,success,[not set],success
memvanta,576,0,0,success,[not set],success
llama,576,1,9,oom,603979776,oom-kill
memvanta,512,0,0,success,[not set],success
llama,512,1,9,oom,536870912,oom-kill
